Calanoides,Calanus,Latitude,Depth,Chlorophyll_int,Temp_avg,Copepod_vol,RNA_seq,R_gig,max_chl,max_upper_temp,Longitude,Copepod_num,Sample,Station,GridLine,GridStation
81.27553578,4.245736944,64.5816,615,66.0119,0.669226154,0.195,Neither,32.75282785,1.8418,1.4038,65.3224,13.623,14,600.100,600,100
357.7181056,9.458892215,66.253,270,30.6002,-0.436767179,0.175,Acutus,42.13506532,1.0746,1.0335,67.3496,32.992,27,400.040,400,40
1051.351524,11.82075126,67.5216,773,63.3252,-0.727986667,0.56,Acutus,82.91909338,2.3555,0.7814,70.5913,125.671,44,200.040,200,40
532.4916015,1.134570174,68.0379,714,200.6168,-0.210217436,2.412,Neither,23.82597365,7.7127,0.9016,69.3063,480.061,57,200.-040,200,-40
294.7754903,8.987057632,67.7806,750,176.6634,-0.742987288,4.742,Both,163.5644489,6.0485,0.0766,69.9576,620.021,61,200.000,200,0
962.060623,28.04212578,67.1717,3026,102.3318,-0.021974872,1.042,Propinquus,202.7661403,3.8077,1.322,74.4728,190.037,69,100.180,100,180
1201.42471,22.78564106,68.2689,438,25.6108,-1.338071282,2.571,Both,44.53557116,1.0895,0.046,75.1604,596.471,75,000.100,0,100
4516.249891,30.22613704,68.8195,637,17.6383,-1.436812887,2.1,Both,132.995003,1.656,0.1523,77.0836,508.314,80,-100.100,-100,100
1567.526106,6.679798746,68.3813,3352,64.7958,0.154424615,0.761,Neither,627.9010822,1.8946,1.6169,77.9214,99.783,91,-100.160,-100,160
235.2412012,7.740016021,65.2386,441,62.329,0.07082,0.174,Neither,51.41582071,1.7548,1.6062,66.7904,41.822,98,500.100,500,100
15.37663106,3.181371943,64.835,587,176.662,0.775895385,0.389,Acutus,46.12989317,12.2595,1.1193,64.1627,31.86,116,616.040,616,40
