PrDM	T090C	T190C	C0S/m	C1S/m	Par	Sbeox0Mm/Kg	Sal11	C2-C1S/m	T2-T190C	CStarTr0	Latitude	Longitude	FlECO-AFL	ModError	T2-T190C	Sal00	Sal11	SecS-priS	C2-C1S/m	DepSM	Sal00	Sal11	Sigma-t00	Sigma-t00	T2-T190C	C2-C1S/m	SecS-priS	Flag
5.05	-1.585	-1.5825	2.629431	2.62979	1.39E+02	334.271	33.0705	0.000337	0.0025	90.0059	-66.25447	-67.34011	0.6567	0	0.0025	33.0679	33.0702	0.0019	0.000359	5	33.0679	33.0702	26.6049	26.6049	0.0025	0.000359	0.0019	0.00E+00
6.06	-1.5436	-1.543	2.636348	2.636333	1.24E+02	333.89	33.115	-0.000022	0.0005	90.0134	-66.25448	-67.34012	0.6881	0	0.0005	33.1168	33.116	-0.0009	-0.000015	6	33.1168	33.116	26.6435	26.6435	0.0005	-0.000015	-0.0009	0.00E+00
7.07	-1.5362	-1.5349	2.63765	2.637586	1.08E+02	333.358	33.1226	-0.000071	0.0014	90.2001	-66.25448	-67.34012	0.7729	0	0.0014	33.126	33.1236	-0.0025	-0.000064	7	33.126	33.1236	26.6507	26.6507	0.0014	-0.000064	-0.0025	0.00E+00
8.08	-1.5613	-1.5597	2.633703	2.633675	9.39E+01	333.742	33.0967	-0.000033	0.0015	90.281	-66.25448	-67.34014	0.8721	0	0.0015	33.0987	33.0966	-0.0022	-0.000028	8	33.0987	33.0966	26.6293	26.6293	0.0015	-0.000028	-0.0022	0.00E+00
9.09	-1.568	-1.5664	2.632624	2.632644	8.13E+01	333.751	33.0893	0.000014	0.0016	90.4946	-66.25448	-67.34014	0.9437	0	0.0016	33.0906	33.0891	-0.0016	0.00002	9	33.0906	33.0891	26.6229	26.6229	0.0016	0.000021	-0.0016	0.00E+00
10.1	-1.5648	-1.5651	2.633116	2.63285	7.14E+01	334.109	33.0901	-0.000267	-0.0003	90.6402	-66.25448	-67.34015	0.9587	0	-0.0003	33.0933	33.09	-0.0034	-0.000266	10	33.0933	33.09	26.625	26.625	-0.0003	-0.000266	-0.0034	0.00E+00
11.11	-1.5685	-1.5709	2.632333	2.631736	6.34E+01	334.104	33.0806	-0.000587	-0.0023	90.5635	-66.25446	-67.34016	0.9565	0	-0.0023	33.086	33.0803	-0.0055	-0.000597	11	33.086	33.0803	26.6191	26.6191	-0.0023	-0.000597	-0.0055	0.00E+00
12.12	-1.5704	-1.5697	2.632101	2.631995	5.58E+01	333.161	33.0822	-0.000113	0.0007	90.6057	-66.25446	-67.34017	0.9026	0	0.0007	33.0842	33.082	-0.0023	-0.000106	12	33.0842	33.082	26.6178	26.6178	0.0007	-0.000106	-0.0023	0.00E+00
13.13	-1.5649	-1.5655	2.633251	2.632918	4.92E+01	331.861	33.0894	-0.000339	-0.0006	90.5187	-66.25446	-67.34018	0.9259	0	-0.0006	33.0934	33.0895	-0.004	-0.000334	13	33.0934	33.0895	26.625	26.625	-0.0006	-0.000334	-0.004	0.00E+00
14.14	-1.5138	-1.5217	2.641627	2.640068	4.40E+01	331.925	33.1373	-0.001532	-0.0079	90.4936	-66.25446	-67.34018	0.9923	0	-0.0079	33.1515	33.1387	-0.0124	-0.00156	14	33.1515	33.1388	26.6709	26.6709	-0.0079	-0.00156	-0.0124	0.00E+00
