PrDM	T090C	T190C	C0S/m	C1S/m	Par	OxMm/Kg	Sal11	C2-C1S/m	T2-T190C	CStarTr0	Latitude	Longitude	FlECO-AFL	ModError	T2-T190C	Sal00	Sal11	SecS-priS	C2-C1S/m	DepSM	Sal00	Sal11	Sigma-t00	Sigma-t00	T2-T190C	C2-C1S/m	SecS-priS	Flag
5.051	-0.5815	-0.5773	2.694055	2.694571	2.39E+02	356.058	32.8465	0.000499	0.0042	85.5148	-68.25802	-75.15876	0.405	0	0.0042	32.8451	32.8474	0.0021	0.000516	5	32.8451	32.8474	26.3918	26.3918	0.0042	0.000516	0.0021	0.00E+00
6.061	-0.5661	-0.5656	2.697435	2.69726	2.10E+02	355.65	32.8691	-0.000177	0.0005	85.7609	-68.25802	-75.15876	0.4522	0	0.0005	32.8731	32.8701	-0.003	-0.000174	6	32.8731	32.8701	26.4138	26.4138	0.0005	-0.000175	-0.0029	0.00E+00
7.071	-0.5539	-0.558	2.700194	2.698987	1.85E+02	355.151	32.8834	-0.001198	-0.004	85.8922	-68.25802	-75.15876	0.5203	0	-0.004	32.8962	32.8844	-0.0117	-0.001206	7	32.8962	32.8844	26.4321	26.4321	-0.004	-0.001206	-0.0117	0.00E+00
8.081	-0.5448	-0.5438	2.702199	2.702058	1.70E+02	354.991	32.9083	-0.000148	0.0011	86.2394	-68.25802	-75.15876	0.5485	0	0.0011	32.9126	32.9096	-0.0031	-0.000141	8	32.9126	32.9096	26.445	26.445	0.0011	-0.000141	-0.0031	0.00E+00
9.091	-0.5255	-0.5253	2.706031	2.705709	1.54E+02	354.188	32.9364	-0.000338	0.0002	86.3253	-68.25802	-75.15876	0.5866	0	0.0002	32.9424	32.9379	-0.0047	-0.000321	9	32.9424	32.9379	26.4683	26.4683	0.0002	-0.000321	-0.0047	0.00E+00
10.101	-0.5121	-0.5151	2.709289	2.708328	1.39E+02	354.137	32.9597	-0.00094	-0.003	86.4406	-68.25802	-75.15876	0.6505	0	-0.003	32.9708	32.9612	-0.0094	-0.000961	10	32.9708	32.9612	26.4908	26.4908	-0.003	-0.000961	-0.0094	0.00E+00
11.112	-0.5231	-0.5239	2.706818	2.706267	1.26E+02	354.145	32.9418	-0.000542	-0.0008	86.5194	-68.25802	-75.15876	0.6701	0	-0.0008	32.949	32.9425	-0.0064	-0.000551	11	32.949	32.9426	26.4736	26.4736	-0.0008	-0.000551	-0.0064	0.00E+00
12.122	-0.5272	-0.5252	2.70613	2.706228	1.15E+02	353.922	32.9421	0.000081	0.002	86.6196	-68.25802	-75.15876	0.6452	0	0.002	32.9437	32.9428	-0.0011	0.000098	12	32.9437	32.9428	26.4694	26.4694	0.002	0.000098	-0.0011	0.00E+00
13.132	-0.5098	-0.5116	2.709419	2.708793	1.09E+02	352.614	32.961	-0.000621	-0.0018	86.6865	-68.25802	-75.15876	0.6763	0	-0.0019	32.9682	32.9618	-0.0063	-0.000625	13	32.9682	32.9618	26.4885	26.4885	-0.0019	-0.000625	-0.0063	0.00E+00
14.142	-0.5177	-0.5135	2.708309	2.708543	1.01E+02	352.381	32.9595	0.000228	0.004	86.8314	-68.25802	-75.15876	0.7514	0	0.0042	32.9613	32.9599	-0.0014	0.000234	14	32.9613	32.9599	26.4833	26.4833	0.0042	0.000234	-0.0014	0.00E+00
15.152	-0.4697	-0.4821	2.717276	2.714511	9.33E+01	349.537	33.0034	-0.002736	-0.0123	86.8702	-68.25802	-75.15876	0.7944	0	-0.0124	33.0285	33.0049	-0.0233	-0.002765	15	33.0286	33.005	26.5357	26.5357	-0.0124	-0.002765	-0.0233	0.00E+00
16.163	-0.3804	-0.3809	2.733518	2.733099	8.48E+01	348.755	33.1383	-0.000423	-0.0005	86.9548	-68.25802	-75.15876	0.8279	0	-0.0005	33.1477	33.1427	-0.0051	-0.000418	16	33.1477	33.1427	26.6283	26.6283	-0.0005	-0.000418	-0.0051	0.00E+00
17.173	-0.3556	-0.3543	2.739003	2.739393	7.70E+01	348.041	33.1931	0.000383	0.0013	87.2728	-68.25802	-75.15876	0.8043	0	0.0013	33.1932	33.197	0.0037	0.00039	17	33.1932	33.197	26.664	26.664	0.0013	0.00039	0.0037	0.00E+00
18.183	-0.3355	-0.3372	2.748509	2.74805	7.03E+01	337.568	33.2901	-0.000452	-0.0017	87.7677	-68.25802	-75.15876	0.9015	0	-0.0017	33.2976	33.2933	-0.0042	-0.000459	18	33.2976	33.2933	26.7475	26.7475	-0.0017	-0.000459	-0.0042	0.00E+00
19.193	-0.6236	-0.6112	2.730151	2.730991	6.56E+01	330.112	33.3719	0.000803	0.0124	88.2476	-68.25802	-75.15876	1.0076	0	0.0124	33.3677	33.3653	-0.0029	0.00084	19	33.3678	33.3654	26.8164	26.8164	0.0124	0.00084	-0.0029	0.00E+00
20.203	-1.013	-1.0079	2.706022	2.706031	6.05E+01	325.963	33.4848	-0.000002	0.0052	88.5651	-68.25802	-75.15876	1.0668	0	0.0051	33.4725	33.4669	-0.0058	0.00001	20	33.4725	33.4669	26.9158	26.9158	0.0051	0.00001	-0.0058	0.00E+00
21.214	-1.3632	-1.3726	2.6819	2.681095	5.44E+01	318.485	33.5561	-0.000822	-0.0096	89.9182	-68.25802	-75.15876	1.0895	0	-0.0094	33.5338	33.5332	-0.0005	-0.000805	21	33.5338	33.5332	26.9769	26.9769	-0.0094	-0.000805	-0.0005	0.00E+00
22.224	-1.5308	-1.5254	2.672626	2.672516	4.98E+01	316.281	33.6082	-0.000128	0.0054	91.7537	-68.25802	-75.15876	0.8851	0	0.0054	33.594	33.5864	-0.0079	-0.00011	22	33.594	33.5864	27.0307	27.0307	0.0054	-0.00011	-0.0079	0.00E+00
23.234	-1.4877	-1.4821	2.679836	2.680198	4.69E+01	315.966	33.6586	0.000348	0.0055	92.8903	-68.25802	-75.15876	0.662	0	0.0055	33.6443	33.643	-0.0015	0.000363	23	33.6443	33.643	27.0703	27.0703	0.0055	0.000363	-0.0015	0.00E+00
24.244	-1.357	-1.3553	2.696662	2.696704	4.51E+01	315.633	33.7344	0.000033	0.0017	93.2221	-68.25802	-75.15876	0.5385	0	0.0017	33.728	33.7267	-0.0014	0.000042	24	33.7281	33.7267	27.1345	27.1345	0.0017	0.000042	-0.0014	0.00E+00
25.255	-1.3124	-1.3137	2.703431	2.702999	4.17E+01	313.302	33.7703	-0.000431	-0.0013	93.2664	-68.25802	-75.15876	0.569	0	-0.0013	33.7702	33.7657	-0.0045	-0.000433	25	33.7702	33.7657	27.1673	27.1673	-0.0013	-0.000433	-0.0045	0.00E+00
26.265	-1.3404	-1.3309	2.703233	2.703521	3.80E+01	312.411	33.7959	0.000258	0.0095	93.1764	-68.25802	-75.15876	0.5494	0	0.0095	33.7985	33.7917	-0.0071	0.000288	26	33.7985	33.7917	27.1911	27.1911	0.0095	0.000288	-0.0071	0.00E+00
27.275	-1.4255	-1.4273	2.695716	2.695304	3.49E+01	312.107	33.7934	-0.000398	-0.0017	93.1463	-68.25802	-75.15876	0.5491	0	-0.0018	33.7906	33.787	-0.0036	-0.000412	27	33.7906	33.787	27.1874	27.1874	-0.0018	-0.000412	-0.0036	0.00E+00
28.285	-1.416	-1.4111	2.697408	2.6975	3.35E+01	310.671	33.8024	0.00008	0.0049	93.4308	-68.25802	-75.15876	0.5601	0	0.005	33.8027	33.7983	-0.0045	0.000092	28	33.8027	33.7983	27.1968	27.1968	0.005	0.000092	-0.0045	0.00E+00
29.296	-1.4835	-1.4749	2.69319	2.693327	3.24E+01	307.962	33.8173	0.000122	0.0085	93.6383	-68.25802	-75.15876	0.6117	0	0.0085	33.8203	33.8125	-0.008	0.000138	29	33.8203	33.8125	27.2132	27.2132	0.0085	0.000138	-0.008	0.00E+00
30.306	-1.5219	-1.5179	2.691216	2.691153	3.01E+01	304.875	33.8359	-0.000061	0.0041	93.7645	-68.25802	-75.15876	0.5618	0	0.004	33.8361	33.8306	-0.0055	-0.000063	30	33.8361	33.8306	27.2271	27.2271	0.004	-0.000063	-0.0055	0.00E+00
31.316	-1.6202	-1.6171	2.685085	2.684945	2.77E+01	302.301	33.8644	-0.000139	0.0031	93.8823	-68.25802	-75.15876	0.5445	0	0.0031	33.8624	33.8569	-0.0055	-0.00014	31	33.8624	33.8569	27.2513	27.2513	0.0031	-0.00014	-0.0055	0.00E+00
32.326	-1.7151	-1.7147	2.678025	2.677739	2.57E+01	300.062	33.8763	-0.000278	0.0004	93.9242	-68.25802	-75.15876	0.5873	0	0.0004	33.8718	33.8674	-0.0043	-0.000285	32	33.8718	33.8674	27.2615	27.2615	0.0004	-0.000285	-0.0043	0.00E+00
33.337	-1.7417	-1.7407	2.676682	2.676438	2.50E+01	299.54	33.8856	-0.00024	0.0009	94.0754	-68.25802	-75.15876	0.5916	0	0.0009	33.8829	33.8784	-0.0044	-0.000243	33	33.8829	33.8784	27.2712	27.2712	0.0009	-0.000243	-0.0044	0.00E+00
34.347	-1.7344	-1.7338	2.677628	2.677394	2.41E+01	298.998	33.8881	-0.00023	0.0007	94.3459	-68.25802	-75.15876	0.4568	0	0.0007	33.8871	33.8831	-0.004	-0.000234	34	33.8871	33.8831	27.2745	27.2745	0.0007	-0.000234	-0.004	0.00E+00
35.357	-1.7413	-1.7401	2.677737	2.677519	2.24E+01	297.469	33.8956	-0.000217	0.0012	94.3528	-68.25802	-75.15876	0.4523	0	0.0012	33.8959	33.8915	-0.0044	-0.000218	35	33.8959	33.8915	27.2818	27.2818	0.0012	-0.000218	-0.0044	0.00E+00
36.368	-1.7575	-1.7568	2.676524	2.676264	2.06E+01	298.682	33.896	-0.000258	0.0007	94.5111	-68.25802	-75.15876	0.394	0	0.0007	33.8969	33.8924	-0.0044	-0.00026	36	33.8969	33.8924	27.283	27.283	0.0007	-0.00026	-0.0044	0.00E+00
