"","CruiseTow","studyName","CruiseName","Sampled","Event","Tow","GridLine","GridStation","Date.GMT","TimeStart.GMT","TimeStart.CLST","LatitudeStart..º.","LongitudeStart..º.","TimeEnd.GMT","LatitudeEnd..º.","LongitudeEnd..º.","TowDuration","Heading..º.","SOG","WaterDepth..m.","WindSpeed","WindDirection..º.","NetID","TowType","DepthTarget","DepthMaximum..m.","VolumeFilteredM3..m³.","ZAID","RadioNum..num.1000m³.","RadioVol..ml.1000m3.","SiphonNum..num.1000m³.","SiphonVol..ml.1000m3.","Hydrozoa_oNum..num.1000m³.","Hydrozoa_oVol..ml.1000m3.","PeriphylNum..num.1000m³.","PeriphylVol..ml.1000m3.","Scyphozo_oNum..num.1000m³.","Scyphozo_oVol..ml.1000m3.","Cnidaria_oNum..num.1000m³.","Cnidaria_oVol..ml.1000m3.","CtenophNum..num.1000m³.","CtenophVol..ml.1000m3.","ClioNum..num.1000m³.","ClioVol..ml.1000m3.","LimacinaNum..num.1000m³.","LimacinaVol..ml.1000m3.","ClioneNum..num.1000m³.","ClioneVol..ml.1000m3.","SpongiobNum..num.1000m³.","SpongiobVol..ml.1000m3.","Gastropo_oNum..num.1000m³.","Gastropo_oVol..ml.1000m3.","CephalopNum..num.1000m³.","CephalopVol..ml.1000m3.","TomopterNum..num.1000m³.","TomopterVol..ml.1000m3.","Polychae_oNum..num.1000m³.","Polychae_oVol..ml.1000m3.","PseudosaNum..num.1000m³.","PseudosaVol..ml.1000m3.","Chaetogn_oNum..num.1000m³.","Chaetogn_oVol..ml.1000m3.","Copepods_per_1000_m3","Copepods_ml_per_m3","OstracodNum..num.1000m³.","OstracodVol..ml.1000m3.","MysidaNum..num.1000m³.","MysidaVol..ml.1000m3.","GammaridNum..num.1000m³.","GammaridVol..ml.1000m3.","VibiliaNum..num.1000m³.","VibiliaVol..ml.1000m3.","CyllopusNum..num.1000m³.","CyllopusVol..ml.1000m3.","PrimnoNum..num.1000m³.","PrimnoVol..ml.1000m3.","ThemistoNum..num.1000m³.","ThemistoVol..ml.1000m3.","HyperielNum..num.1000m³.","HyperielVol..ml.1000m3.","HyperocheNum..num.1000m³.","HyperocheVol..ml.1000m3.","Amphipod_oNum..num.1000m³.","Amphipod_oVol..ml.1000m3.","EsuperbaNum..num.1000m³.","EsuperbaVol..ml.1000m3.","EcrystalNum..num.1000m³.","EcrystalVol..ml.1000m3.","EfrigidaNum..num.1000m³.","EfrigidaVol..ml.1000m3.","EtriacanNum..num.1000m³.","EtriacanVol..ml.1000m3.","ThysanoeNum..num.1000m³.","ThysanoeVol..ml.1000m3.","Euphaus_oNum..num.1000m³.","Euphaus_oVol..ml.1000m3.","DecapodaNum..num.1000m³.","DecapodaVol..ml.1000m3.","IhleaNum..num.1000m³.","IhleaVol..ml.1000m3.","SalpaAggNum..num.1000m³.","SalpaAggVol..ml.1000m3.","SalpaSolNum..num.1000m³.","SalpaSolVol..ml.1000m3.","SalpidaeNum..num.1000m³.","SalpidaeVol..ml.1000m3.","PantarctNum..num.1000m³.","PantarctVol..ml.1000m3.","TeleosteNum..num.1000m³.","TeleosteVol..ml.1000m3.","otherNum..num.1000m³.","otherVol..ml.1000m3.","R_gig","C_acu","C_pro","CTD.event","Cast","max_chl","int_chl","upper_temp","upper_max_temp","shallow lim"
"1",270002,"LMG19-01","LMG19-01",1,11,2,600,40,"1/6/2019","15:15:00","11:15:00",64.9393,64.3693,"15:46:00",64.9337,64.4122,31,293,2,1389,2,55,2,"Standard","0-120",120.4,7421.9,"Full",0.135,0.012,0.674,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0.135,0.135,0.012,27.756,0.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.974,116.305,0,0,0,0,0,0,76.396,1.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0.012,0,0,NA,NA,NA,8,2,1.6555,41.3387,0.59996358974359,1.0405,199
"2",270009,"LMG19-01","LMG19-01",1,55,9,616,40,"1/7/2019","23:25:00","19:25:00",64.8248,64.1472,"23:56:00",64.8258,64.1938,31,267,2.3,373,5,295,2,"Standard","0-120",120,7463.7,"Full",0,0,26.796,0.335,0,0,0,0,0,0,0,0,0,0,0.134,0.067,0.67,0.027,0.134,0.027,0.134,0.013,0,0,0.134,0.107,0,0,0,0,0.402,0.402,20.097,0.402,41.802,0.603,0.402,0.012,0,0,0.134,0.012,0.268,0.013,0,0,0.134,0.012,0.134,0.012,0,0,0,0,0,0,0.134,0.067,0,0,0,0,0,0,14.47,0.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.072,0.013,0,0,NA,NA,NA,53,7,1.5831,54.8549,0.735417171717172,1.2441,199
"3",270010,"LMG19-01","LMG19-01",1,57,10,616,40,"1/8/2019","0:07:00","20:07:00",64.826,64.1997,"0:35:00",64.8247,64.1605,28,85,2.7,340,4,333,2,"Standard","0-120",120,6680.5,"Full",0,0,10.628,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0.015,0.599,0.06,0.15,0.015,0,0,0,0,0,0,0,0,0,0,6.586,0.06,31.135,0.235,1.048,0.013,0,0,0.15,0.015,0.299,0.015,0.299,0.09,0,0,0,0,0,0,0.299,0.013,0,0,52.84,30.272,0,0,0,0,0,0,12.724,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,53,7,1.5831,54.8549,0.735417171717172,1.2441,199
"4",270012,"LMG19-01","LMG19-01",1,65,12,595,53,"1/8/2019","9:35:00","5:35:00",64.8897,64.6571,"10:09:00",64.8985,64.6985,34,243,2,326,9,230,2,"Standard","0-120",120.1,8443.3,"Full",0.355,0.011,2.842,0.154,0.947,0.059,0,0,0,0,0,0,0,0,0,0,0.947,0.047,0.592,0.024,0,0,0,0,0,0,0.118,0.011,0,0,6.04,0.758,12.199,0.154,40.269,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.011,0,0,8.764,5.33,2.842,0.142,0,0,0,0,176.945,4.281,0,0,0.237,0.011,0,0,0,0,0,0,0,0,0,0,5.567,0.034,0,0,NA,NA,NA,64,8,1.6024,58.7424,0.465784615384615,1.1163,199
"5",270014,"LMG19-01","LMG19-01",1,76,14,600,100,"1/8/2019","19:20:00","15:20:00",64.5816,65.3224,"19:45:00",64.5751,65.3479,25,277,1.6,615,10,285,2,"Standard","0-120",122,5138.3,"Full",0,0,5.449,0.058,1.752,0.117,0,0,0,0,0,0,0,0,0.973,0.389,5.255,0.292,0,0,0,0,0.389,0.018,0,0,0,0,0,0,0.778,0.973,19.073,1.07,13.623,0.195,0.195,0.018,0,0,0,0,0,0,0.195,0.078,0,0,0,0,0,0,0,0,0,0,0.195,0.039,0,0,0,0,0,0,14.207,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.752,0.078,0,0,32.75282785,81.27553578,4.245736944,75,9,1.8418,66.0119,0.669226153846154,1.4038,199
"6",270017,"LMG19-01","LMG19-01",1,91,17,600,200,"1/9/2019","6:52:00","2:52:00",63.9612,66.8288,"7:24:00",63.9743,66.8601,32,230,2.7,3110,16,245,2,"Standard","0-120",120.8,7272.1,"Full",2.2,0.069,0.275,0.012,3.3,0.248,0,0,0,0,0,0,0,0,0,0,32.315,0.88,3.85,0.248,0.688,0.041,0,0,0,0,1.238,0.234,0,0,0.55,0.22,6.876,0.069,32.728,0.206,0,0,0,0,0,0,0.138,0.012,0,0,0,0,0.138,0.014,0.138,0.014,0.275,0.012,0,0,25.715,30.94,0,0,0,0,0,0,1113.435,28.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0.028,0,0,NA,NA,NA,90,10,1.3654,49.0987,-0.173294974874372,1.2466,199
"7",270022,"LMG19-01","LMG19-01",1,99,22,500,200,"1/9/2019","19:23:00","15:23:00",64.6175,68.3043,"0:00:00",0,0,0,26,2.6,2735,25,31,2,"Standard","0-120",120,5346.6,"Full",3.18,0.094,0.187,0.017,1.496,0.281,0,0,0,0,0,0,0,0,0.187,0.056,23.005,0.748,2.993,0.281,0.187,0.019,0.187,0.017,0,0,0.935,0.468,0,0,0,0,6.172,0.281,42.457,0.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.683,1.683,0,0,0,0,0,0,135.227,5.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.985,0.037,0,0,NA,NA,NA,93,11,0.6386,15.3844,0.164414070351759,1.6651,199
"8",270025,"LMG19-01","LMG19-01",1,113,25,500,60,"1/10/2019","10:01:00","6:01:00",65.4832,66.1629,"10:40:00",65.4691,66.1141,39,50,2.9,235,30,68,2,"Standard","0-120",120.7,10593,"Full",0,0,3.965,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.472,0.008,0.189,0.019,0,0,0,0,0,0,0.094,0.008,0,0,0.189,0.16,1.322,0.057,9.723,0.123,0,0,0,0,0.094,0.019,0.189,0.028,0,0,0,0,0,0,0,0,0.378,0.009,0,0,101.86,48.192,116.964,5.947,0,0,0,0,579.061,11.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661,0.046,0,0,NA,NA,NA,112,13,2.1461,45.1537,-0.156023076923077,1.1037,199
"9",270027,"LMG19-01","LMG19-01",2,121,27,400,40,"1/10/2019","23:42:00","19:42:00",66.253,67.3496,"0:09:00",66.2477,67.3882,27,277,1.9,270,17,0,2,"Standard","0-120",119.6,6850.2,"Full",0,0,1.752,0.175,0.146,0.015,0,0,0,0,0,0,0.438,2.19,0.292,0.073,0.73,0.013,0.146,0.013,0.438,0.015,0,0,0,0,0,0,0,0,1.314,1.168,1.606,0.102,32.992,0.175,0,0,0,0,0.876,0.044,0,0,0.73,0.175,0.584,0.073,0.146,0.029,0,0,0.584,0.044,0.292,0.19,106.859,11.518,408.311,27.224,0,0,0,0,104.669,3.664,0,0,0.438,0.013,0,0,0,0,0,0,0,0,0,0,0.292,0.013,0,0,42.13506532,357.7181056,9.458892215,120,16,1.0746,30.6002,-0.436767179487179,1.0335,199
"10",270029,"LMG19-01","LMG19-01",1,131,29,400,100,"1/11/2019","9:24:00","5:24:00",65.8736,68.2987,"10:02:00",65.8884,68.2481,38,112,2.5,343,10,132,2,"Standard","0-120",120.7,10261.3,"Full",0.195,0.009,0,0,0.292,0.029,0,0,0,0,0,0,0,0,0.585,0.156,3.898,0.136,0.292,0.019,0,0,0.097,0.009,0,0,0,0,0,0,1.462,0.312,2.826,0.097,304.738,3.099,0,0,0,0,0.097,0.01,0.097,0.01,0.097,0.019,0,0,0.097,0.019,0.097,0.019,0.097,0.009,0,0,46.193,7.601,16.567,0.78,0,0,0,0,79.717,2.729,0,0,0.097,0.009,0,0,0,0,0,0,0,0,0.097,0.039,2.144,0.029,0,0,NA,NA,NA,130,17,6.4627,72.2295,-0.106586666666667,1.3204,199
