Station,Final_FIG,LatPhoto
200.000,No,3262
200.000,Yes,3264
200.000,Yes,3267
200.000,Yes,3270
200.000,Yes,3272
200.000,Yes,3287
200.000,No,3306
200.000,No,3307
100.180,No,3524
100.180,Yes,3527
100.180,Yes,3529
100.180,No,3530
100.180,Yes,3531
100.180,No,3532
100.180,No,3533
100.180,No,3534
100.180,No,3537
100.180,Yes,3549
100.180,Yes,3553
100.180,Yes,3554
100.180,No,3555
100.180,No,3556
100.180,No,3558
100.180,No,3559
100.180,No,3560
100.180,No,3564
000.100,Yes,3566
000.100,Yes,3567
000.100,Yes,3571
000.100,Yes,3572
000.100,No,3575
000.100,Yes,3576
000.100,Yes,3577
000.100,No,3578
000.100,Yes,3579
000.100,Yes,3580
000.100,Yes,3581
000.100,Yes,3582
-100.100,Yes,3720
-100.100,Yes,3721
-100.100,Yes,3722
-100.100,Yes,3723
-100.100,Yes,3724
-100.100,Yes,3731
-100.100,Yes,3734
-100.100,Yes,3735
-100.100,Yes,3736
-100.100,No,3738
-100.100,No,3740
-100.100,Yes,3745
-100.100,Yes,3748
-100.100,Yes,3751
-100.100,No,3752
-100.100,Yes,3754
-100.100,Yes,3755
