"","File","Group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","Station"
"27a","27a_quant","27",-8.26100570659631,-69.7648916526941,8.52585810192662,-4.12146172727217,43.3023800841811,-8.66779706864302,26.4875611402354,-5.208437694631,-8.31202144174463,-11.7543772684989,11.3940475345489,15.0233267439736,15.8345677340634,-43.1412263407085,-84.1630184230835,36.2402783815619,86.8323672751998,22.0937809127017,-36.21312342895,-40.9763079889783,-77.4662830566146,-35.3079651991113,15.4015832071293,6.58837925449,3.05494230332956,6.33952111616788,-14.8643900237113,4.61546663768137,-1.03013831629528,-3.18005848433736e-13," 400.040"
"27b","27b_quant","27",5.6161346831072,-86.1979802387367,-23.9194078412881,-11.1130647717423,5.19420546070895,-39.5293496084664,31.6166329249133,-10.1798099250001,9.69010932119845,-49.4118538332756,1.95126606641659,17.365196538249,-27.0094783210091,31.6833074538898,-52.9118912488121,17.8590396406048,33.2622043202528,44.587394188444,4.74428390281834,68.4314883393182,104.55292075474,4.8085384164869,-26.2045480695726,13.6793649241167,7.1134368915329,-26.5699563206413,-3.11783680122797,5.60775152387522,3.41724914020627,-4.86663660759223e-14," 400.040"
"27c","27c_quant","27",49.4002556009286,-80.9429008435761,-20.1511189896388,-31.9880097675759,46.8507401454447,19.5431900372335,55.5650402444404,-9.87987408031634,6.77519763213226,31.5204814051737,-29.5624015266816,-5.24912203185426,69.8943590417073,78.1504617263698,-3.82521408837042,61.8631858693919,-74.9834781500914,5.29682211128385,43.2190066559174,1.29464762516528,-26.3201873638481,3.44062638160515,32.99246792701,-2.24051507650185,9.71813363255055,9.74226238550948,-0.829403660135959,-0.589921306058325,3.75914904654363,-1.23849169716408e-13," 400.040"
"27d","27d_quant","27",-2.73328929061436,-92.006330546531,5.8153831064505,-44.9868534773919,-2.8456912444447,43.7916748967547,-82.6602023406348,0.629790418016404,40.9420278000999,-9.09735972415977,-84.8902818684714,-12.0219961511496,53.1590408531623,-40.5973323650557,61.2283582096049,-1.35930722450276,15.5007968932481,31.2675494688381,-52.2009936094263,2.75070641707589,14.1563257025345,16.142075380487,-14.383084949492,5.9340961182161,-0.854039328428433,-11.4607177714443,-27.9378861234596,-22.866633708246,6.97561533514914,-2.91984806558704e-13," 400.040"
"27e","27e_quant","27",-4.18038679679849,-69.1100019338025,-1.67577736955885,5.32499610389875,16.2033951156457,0.0855706991524322,57.3844425015214,-41.7464873611237,53.6313313977242,-7.60016840819686,30.5837041893369,-66.0358350948342,-74.715599992885,29.8239263468557,87.1937526449814,-13.82170132716,15.0827642327484,-20.722956143395,-27.4217904077303,-5.18422796268293,-20.8374950099557,-65.3073995672113,-4.86609065079169,-14.593827328572,-0.970651333627937,-18.0368646131856,0.708415530415616,2.4461173728398,2.16557960465302,-3.50153174684398e-13," 400.040"
"45a","45a_quant","45",57.2175330907295,16.822628212424,41.2277349391088,37.3277909414599,-26.1149721346177,8.44701784357805,-55.8291831648282,-38.3187276762836,-48.8098597614308,-44.2734263535812,25.5628096998645,8.79023946555491,-15.6146974925894,92.9716408281631,-7.07705645828199,23.3764156939618,-16.043567221388,22.1626593460104,-47.1805753206605,-88.0817520683088,6.3537417480049,25.3376555180773,-24.7012271464506,-0.669236616886447,-6.14221566852742,-20.9408549039099,-11.8108199233166,-14.2196178550752,2.66376288998042,2.18977283815468e-12," 200.040"
"45b","45b_quant","45",80.4034743430217,-0.747328332534496,41.0699479300368,17.5624974069157,-1.00005794072011,10.5749561318498,-54.7162634907598,-46.0095376429774,-76.9383863492363,-36.5231468095727,-12.3951855919939,-21.717032276471,33.5102002588002,-3.85669682842317,9.65282759238574,25.1395168269666,23.2303537283614,-59.5312492598357,22.2901025957618,62.3853520883333,1.97513456042458,-56.1833622191959,-19.4017505839166,-20.4272277631202,-13.7809205431362,51.6897821293212,34.6889239469276,31.5296298974998,4.84788628944285,-5.80320608733163e-13," 200.040"
"45c","45c_quant","45",-49.7157400190214,80.9480925876497,5.95726816506581,24.7799208045332,3.25007546205138,-28.7076627365947,9.99593476854321,-0.432148018454452,-12.6579477896856,-18.8411423094278,-1.199446854325,-16.157412382553,13.1503529545913,15.6464386235766,7.37351501241763,10.7077458515665,30.8435589947988,-34.3240247512226,12.5596544572256,41.180853414111,-1.7913282767799,11.706163609539,45.5439415730672,-36.275337170944,10.3448049697072,-0.245353718877294,-94.797353941416,-93.1772194677994,-1.2562301030921,-4.4810401727104e-13," 200.040"
"45d","45d_quant","45",68.4521077271481,30.2685718648751,16.5833709072094,32.7173066020106,9.19586525346785,-19.1729163646387,-12.8108052439031,-35.1636505621177,-14.0051618983674,-13.3606623248149,-26.9465001843943,-7.46281548179456,-17.9863670440909,-10.5149937189963,18.3330223527636,-31.1532957161607,11.4524530921192,26.2575653295947,-3.87521386582557,13.2289539362962,-5.38404255318302,34.5688297248908,114.100096238317,34.5450855714284,74.5220753756338,-25.2953446221968,39.7459530988371,31.9037307921276,3.08532592785787,-6.02344779956909e-14," 200.040"
"45e","45e_quant","45",94.2969643442105,55.8602345502644,32.1034290715975,76.063015875587,74.7602674543222,-108.343904548396,-45.7549075991496,18.6783079984767,83.6584345651173,45.3182738214303,-1.10351743252665,-7.64296353587079,25.4552333422952,-8.2672826340271,-5.28808058480074,4.11349200453262,-16.662364158632,16.0874327230792,4.15176433430557,-6.37799058148793,7.78643356548963,-17.3576781783423,-35.2318920710625,-3.00458716170404,-8.06431130385663,3.60973171458458,7.92360582021413,1.71915887518338,-1.12901077706775,-3.41317089608967e-13," 200.040"
"62a","62a_quant","62",90.2737562662575,71.1447208926705,-18.4414855964519,-5.61485047069339,5.64133033644099,27.6347995661131,27.2347386866556,5.48221132395608,10.4146777790029,-35.2859319910027,-12.6452931794811,-9.06715641692909,-8.99397361305548,-29.3457677554943,17.3593480209593,42.9768948981287,20.1720153833801,-28.9043351307863,44.716443502662,-7.30600651210005,-13.4845787219961,24.3228898352648,-12.5885408717507,91.4357877013593,-73.2161569805523,-57.7038105670061,23.9603093511979,-26.9193115170419,0.456712312761479,9.55367241480681e-13," 200.000"
"62b","62b_quant","62",129.150347124373,64.5885777330015,-33.206404167422,8.39962452547289,-7.34743020773755,69.2929390591655,14.1916892703105,64.7918332837474,1.32424356361326,26.0764298483333,27.4519143310201,28.3509463343042,2.55031795169121,16.3311729980855,-3.87735660290024,-31.9715260177601,6.12692927656565,32.564962847343,-35.4800357725183,22.2102217552501,8.58522833555454,-39.2224971618219,17.1846980760419,-6.94467241332959,-17.5843316889631,15.7829293168199,-10.5419013661546,2.8240971800855,79.5599898714521,-1.72720290760736e-13," 200.000"
"62c","62c_quant","62",113.454191216817,33.6274642655532,-35.369834028331,-0.688895124272308,-5.76992185440488,52.5926136672481,3.20722575143504,30.8129053469951,2.44885944682228,15.7897787615164,14.094087709399,20.7232955138665,4.56915843688977,12.0763864791386,4.17906930155932,-23.1213122905177,9.68971578407935,22.9367536271812,-17.3550688462982,7.31111128468712,16.0949811230908,-27.9459135920788,13.2757391806393,-5.12849553580202,-8.34450631779774,19.1353049020503,-8.47488113455559,2.46529894390061,-110.469167748417,-3.35171560644776e-13," 200.000"
"62d","62d_quant","62",100.882609892439,49.5639993493049,-41.8691282230658,-18.8469006789694,-3.79201038442681,17.8177609870078,31.7271291731055,4.8173779813538,24.9584526828511,-47.5538941000622,-44.1969404301137,-29.3815004350689,-37.9068013250366,-17.2614857146379,-14.0703894846146,-9.791801599232,5.31498999613502,-7.00861853686393,35.4517225207489,-27.9837955055319,-21.258938268953,52.7493913290543,-67.4681573691147,-29.6871581191858,71.2252051145236,55.0448980834251,-20.8756408047358,21.0764261960077,6.60316849362113,-2.57316412101416e-13," 200.000"
