Sample,Station,GridLine,GridStation,Latitude,Longitude,Depth,max_chl,int_chl,avg_upper_temp,max_upper_temp,Copepod_num,Copepod_vol,Site_Factor,Site_group,Calanoides
27a_quant,400.04,400,40,66.253,67.3496,270,1.0746,30.6002,-0.436767179,1.0335,32.992,0.175,S1,0,357.7181056
27b_quant,400.04,400,40,66.253,67.3496,270,1.0746,30.6002,-0.436767179,1.0335,32.992,0.175,S1,0,357.7181056
27c_quant,400.04,400,40,66.253,67.3496,270,1.0746,30.6002,-0.436767179,1.0335,32.992,0.175,S1,0,357.7181056
27d_quant,400.04,400,40,66.253,67.3496,270,1.0746,30.6002,-0.436767179,1.0335,32.992,0.175,S1,0,357.7181056
27e_quant,400.04,400,40,66.253,67.3496,270,1.0746,30.6002,-0.436767179,1.0335,32.992,0.175,S1,0,357.7181056
45a_quant,200.04,200,40,67.5216,70.5913,773,2.3555,63.3252,-0.727986667,0.7814,125.671,0.56,S2,1,1051.351524
45b_quant,200.04,200,40,67.5216,70.5913,773,2.3555,63.3252,-0.727986667,0.7814,125.671,0.56,S2,1,1051.351524
45c_quant,200.04,200,40,67.5216,70.5913,773,2.3555,63.3252,-0.727986667,0.7814,125.671,0.56,S2,1,1051.351524
45d_quant,200.04,200,40,67.5216,70.5913,773,2.3555,63.3252,-0.727986667,0.7814,125.671,0.56,S2,1,1051.351524
45e_quant,200.04,200,40,67.5216,70.5913,773,2.3555,63.3252,-0.727986667,0.7814,125.671,0.56,S2,1,1051.351524
62a_quant,200,200,0,67.7806,69.9576,750,6.0485,176.6634,-0.742987288,0.0766,620.021,4.742,S3,1,294.7754903
62b_quant,200,200,0,67.7806,69.9576,750,6.0485,176.6634,-0.742987288,0.0766,620.021,4.742,S3,1,294.7754903
62c_quant,200,200,0,67.7806,69.9576,750,6.0485,176.6634,-0.742987288,0.0766,620.021,4.742,S3,1,294.7754903
62d_quant,200,200,0,67.7806,69.9576,750,6.0485,176.6634,-0.742987288,0.0766,620.021,4.742,S3,1,294.7754903
62e_quant,200,200,0,67.7806,69.9576,750,6.0485,176.6634,-0.742987288,0.0766,620.021,4.742,S3,1,294.7754903
77a_quant,0.1,0,100,68.2689,75.1604,438,1.0895,25.6108,-1.338071282,0.046,596.471,2.571,S4,0,1201.42471
77b_quant,0.1,0,100,68.2689,75.1604,438,1.0895,25.6108,-1.338071282,0.046,596.471,2.571,S4,0,1201.42471
77c_quant,0.1,0,100,68.2689,75.1604,438,1.0895,25.6108,-1.338071282,0.046,596.471,2.571,S4,0,1201.42471
77d_quant,0.1,0,100,68.2689,75.1604,438,1.0895,25.6108,-1.338071282,0.046,596.471,2.571,S4,0,1201.42471
77e_quant,0.1,0,100,68.2689,75.1604,438,1.0895,25.6108,-1.338071282,0.046,596.471,2.571,S4,0,1201.42471
81a_quant,-100.1,-100,100,68.8195,77.0836,637,1.656,17.6383,-1.436812887,0.1523,508.314,2.1,S5,0,4516.249891
81b_quant,-100.1,-100,100,68.8195,77.0836,637,1.656,17.6383,-1.436812887,0.1523,508.314,2.1,S5,0,4516.249891
81c_quant,-100.1,-100,100,68.8195,77.0836,637,1.656,17.6383,-1.436812887,0.1523,508.314,2.1,S5,0,4516.249891
81d_quant,-100.1,-100,100,68.8195,77.0836,637,1.656,17.6383,-1.436812887,0.1523,508.314,2.1,S5,0,4516.249891
81e_quant,-100.1,-100,100,68.8195,77.0836,637,1.656,17.6383,-1.436812887,0.1523,508.314,2.1,S5,0,4516.249891
117a_quant,616.04,616,40,64.835,64.1627,587,12.2595,176.662,0.775895385,1.1193,31.86,0.389,S6,0,15.37663106
117b_quant,616.04,616,40,64.835,64.1627,587,12.2595,176.662,0.775895385,1.1193,31.86,0.389,S6,0,15.37663106
117c_quant,616.04,616,40,64.835,64.1627,587,12.2595,176.662,0.775895385,1.1193,31.86,0.389,S6,0,15.37663106
117d_quant,616.04,616,40,64.835,64.1627,587,12.2595,176.662,0.775895385,1.1193,31.86,0.389,S6,0,15.37663106
117e_quant,616.04,616,40,64.835,64.1627,587,12.2595,176.662,0.775895385,1.1193,31.86,0.389,S6,0,15.37663106
