Sample,Site,Station,GridLine,GridStation,Latitude,Longitude,Depth,max_chl,int_chl,avg_upper_temp,max_upper_temp,Copepod_num,Copepod_vol,Calanus
S1_rep1,S1,000.100,0,100,68.2689,75.1604,438,1.0895,25.6108,-1.338071282,0.046,596.471,2.571,22.78564
S1_rep2,S1,0.1,0,100,68.2689,75.1604,438,1.0895,25.6108,-1.338071282,0.046,596.471,2.571,22.78564
S1_rep3,S1,0.1,0,100,68.2689,75.1604,438,1.0895,25.6108,-1.338071282,0.046,596.471,2.571,22.78564
S1_rep4,S1,0.1,0,100,68.2689,75.1604,438,1.0895,25.6108,-1.338071282,0.046,596.471,2.571,22.78564
S2_rep1,S2,200,200,0,67.7806,69.9576,750,6.0485,176.6634,-0.742987288,0.0766,620.021,4.742,8.987058
S2_rep2,S2,200,200,0,67.7806,69.9576,750,6.0485,176.6634,-0.742987288,0.0766,620.021,4.742,8.987058
S2_rep3,S2,200,200,0,67.7806,69.9576,750,6.0485,176.6634,-0.742987288,0.0766,620.021,4.742,8.987058
S2_rep4,S2,200,200,0,67.7806,69.9576,750,6.0485,176.6634,-0.742987288,0.0766,620.021,4.742,8.987058
S3_rep1,S3,100.18,100,180,67.1717,74.4728,3026,3.8077,102.3318,-0.021974872,1.322,190.037,1.042,28.04213
S3_rep2,S3,100.18,100,180,67.1717,74.4728,3026,3.8077,102.3318,-0.021974872,1.322,190.037,1.042,28.04213
S3_rep3,S3,100.18,100,180,67.1717,74.4728,3026,3.8077,102.3318,-0.021974872,1.322,190.037,1.042,28.04213
S3_rep4,S3,100.18,100,180,67.1717,74.4728,3026,3.8077,102.3318,-0.021974872,1.322,190.037,1.042,28.04213
S4_rep1,S4,-100.1,-100,100,68.8195,77.0836,637,1.656,17.6383,-1.436812887,0.1523,508.314,2.1,30.22614
S4_rep2,S4,-100.1,-100,100,68.8195,77.0836,637,1.656,17.6383,-1.436812887,0.1523,508.314,2.1,30.22614
S4_rep3,S4,-100.1,-100,100,68.8195,77.0836,637,1.656,17.6383,-1.436812887,0.1523,508.314,2.1,30.22614
S4_rep4,S4,-100.1,-100,100,68.8195,77.0836,637,1.656,17.6383,-1.436812887,0.1523,508.314,2.1,30.22614
