label,Species,Foreground,DE
'Acartia_fossae_TRINITY_DN275091_c0_g1_i1.p1',Afos,FALSE,No
'Acartia_fossae_TRINITY_DN94307_c0_g1_i1.p1',Afos,FALSE,No
Acartia_tonsa_TRINITY_DN121949_c0_g1_i1,Aton,FALSE,No
Acartia_tonsa_TRINITY_DN160808_c0_g1_i1,Aton,FALSE,No
Acartia_tonsa_TRINITY_DN166403_c0_g1_i1,Aton,FALSE,No
Acartia_tonsa_TRINITY_DN166433_c0_g1_i1,Aton,FALSE,No
Acartia_tonsa_TRINITY_DN190273_c0_g1_i1,Aton,FALSE,No
Acartia_tonsa_TRINITY_DN48416_c0_g1_i1,Aton,FALSE,No
Acartia_tonsa_TRINITY_DN49034_c0_g1_i1,Aton,FALSE,No
Acartia_tonsa_TRINITY_DN59948_c0_g1_i1,Aton,FALSE,No
Acartia_tonsa_TRINITY_DN63715_c0_g1_i1,Aton,FALSE,No
Acartia_tonsa_TRINITY_DN95144_c0_g1_i1,Aton,FALSE,No
Apocyclops_royi_TRINITY_DN14185_c0_g1_i4,Aroy,FALSE,No
Apocyclops_royi_TRINITY_DN1610_c0_g1_i2,Aroy,FALSE,No
'Caligus_rogercresseyi_gi|604739138|gb|GAZX01029393.1|',Crog,FALSE,No
'Caligus_rogercresseyi_gi|604753557|gb|GAZX01014974.1|',Crog,FALSE,No
'Eucyclops_serrulatus_GARW01005949.1',Eser,FALSE,No
'Eucyclops_serrulatus_GARW01014858.1',Eser,FALSE,No
Hemidiaptemus_amplyodon_TRINITY_DN36828_c0_g1_i1,Hamp,FALSE,No
'Labidocera_madurae_GFWO01062702.1',Lmad,FALSE,No
'Labidocera_madurae_GFWO01078955.1',Lmad,FALSE,No
Lepeoptheirus_salmonis_EMLSAP00000009304,Lsal,FALSE,No
'Lernaea_cyprinacea_TRINITY_DN105779_c0_g1_i1.p1',Lcyp,FALSE,No
'Lernaea_cyprinacea_TRINITY_DN109723_c0_g1_i1.p1',Lcyp,FALSE,No
'Lernaea_cyprinacea_TRINITY_DN113579_c0_g1_i1.p1',Lcyp,FALSE,No
'Lernaea_cyprinacea_TRINITY_DN12585_c0_g1_i1.p1',Lcyp,FALSE,No
'Lernaea_cyprinacea_TRINITY_DN127342_c0_g1_i1.p1',Lcyp,FALSE,No
'Lernaea_cyprinacea_TRINITY_DN13414_c0_g1_i1.p1',Lcyp,FALSE,No
'Lernaea_cyprinacea_TRINITY_DN145546_c0_g1_i1.p1',Lcyp,FALSE,No
