"","x"
"1","Acutus_12207.0"
"2","Acutus_14873.25396"
"3","Acutus_14873.31052"
"4","Acutus_14873.33532"
"5","Acutus_21391.0"
"6","Acutus_14873.31937"
"7","Acutus_14873.31344"
"8","Acutus_14873.26190"
"9","Acutus_14873.28003"
"10","Acutus_19047.0"
"11","Acutus_14873.36992"
"12","Acutus_14873.36616"
"13","Acutus_14873.10842"
"14","Acutus_2442.0"
"15","Acutus_14873.3111"
"16","Acutus_16978.0"
"17","Acutus_14873.21489"
"18","Acutus_14873.10702"
"19","Acutus_14873.55359"
"20","Acutus_4515.2"
"21","Acutus_14873.24596"
"22","Acutus_14873.12271"
"23","Acutus_14873.5381"
"24","Acutus_14873.73801"
"25","Acutus_14873.7311"
"26","Acutus_14873.35442"
"27","Acutus_15827.1"
"28","Acutus_14873.6333"
"29","Acutus_14873.7527"
"30","Acutus_14873.22622"
"31","Acutus_14873.36223"
"32","Acutus_14873.27335"
"33","Acutus_14873.16809"
"34","Acutus_14873.14915"
"35","Acutus_14873.6907"
"36","Acutus_2367.15"
"37","Acutus_14873.22114"
"38","Acutus_3501.0"
"39","Acutus_14873.3158"
"40","Acutus_14873.17961"
"41","Acutus_15356.0"
"42","Acutus_14873.1725"
"43","Acutus_14873.19998"
"44","Acutus_14873.17971"
"45","Acutus_14873.22553"
"46","Acutus_14873.65091"
"47","Acutus_14873.29329"
"48","Acutus_13199.3"
"49","Acutus_14873.34765"
"50","Acutus_13140.2"
"51","Acutus_14873.34196"
"52","Acutus_23313.0"
"53","Acutus_14873.17000"
"54","Acutus_13199.0"
"55","Acutus_9774.0"
"56","Acutus_12230.0"
"57","Acutus_14873.41026"
"58","Acutus_14873.35600"
"59","Acutus_14873.57547"
"60","Acutus_14873.34853"
"61","Acutus_14873.43899"
"62","Acutus_14873.20561"
"63","Acutus_14873.58603"
"64","Acutus_15934.0"
"65","Acutus_14873.3570"
"66","Acutus_14873.57451"
"67","Acutus_14873.37666"
"68","Acutus_14873.54326"
"69","Acutus_18422.1"
"70","Acutus_14873.40730"
"71","Acutus_14873.17126"
"72","Acutus_21936.4"
"73","Acutus_14873.34881"
"74","Acutus_14873.10624"
"75","Acutus_13985.1"
"76","Acutus_14873.618"
"77","Acutus_14873.71905"
"78","Acutus_14873.11799"
"79","Acutus_14873.72246"
"80","Acutus_10659.0"
"81","Acutus_14873.64060"
"82","Acutus_13472.1"
"83","Acutus_14873.50882"
"84","Acutus_14873.25175"
"85","Acutus_11737.11"
"86","Acutus_14873.65255"
"87","Acutus_23932.0"
"88","Acutus_14873.50128"
"89","Acutus_14873.312"
"90","Acutus_14873.31804"
"91","Acutus_14873.7126"
"92","Acutus_14873.180"
"93","Acutus_16446.0"
"94","Acutus_14873.27110"
"95","Acutus_14873.19088"
"96","Acutus_14873.62528"
"97","Acutus_14873.20854"
"98","Acutus_14873.31442"
"99","Acutus_14873.53848"
"100","Acutus_13939.0"
"101","Acutus_14873.10901"
"102","Acutus_14873.11215"
"103","Acutus_14873.27580"
"104","Acutus_14700.2"
"105","Acutus_14873.27482"
"106","Acutus_14873.48481"
"107","Acutus_22906.6"
"108","Acutus_14873.50244"
"109","Acutus_14873.21611"
"110","Acutus_14873.37356"
"111","Acutus_14873.20077"
"112","Acutus_14873.11826"
"113","Acutus_15868.1"
"114","Acutus_14873.25376"
"115","Acutus_14873.24289"
"116","Acutus_16149.6"
"117","Acutus_23000.0"
"118","Acutus_14873.10837"
"119","Acutus_2416.0"
"120","Acutus_21732.0"
"121","Acutus_14873.39477"
"122","Acutus_14873.22108"
"123","Acutus_23346.1"
"124","Acutus_14873.25069"
"125","Acutus_14873.44180"
"126","Acutus_14873.10955"
"127","Acutus_14873.9253"
"128","Acutus_14873.5901"
"129","Acutus_14873.48502"
"130","Acutus_14873.16349"
"131","Acutus_14873.62936"
"132","Acutus_19247.0"
"133","Acutus_14873.27540"
"134","Acutus_14873.22618"
"135","Acutus_14873.18851"
"136","Acutus_14873.64440"
"137","Acutus_14873.3938"
"138","Acutus_14873.13510"
"139","Acutus_14873.47863"
"140","Acutus_7646.0"
"141","Acutus_14873.21118"
"142","Acutus_4094.0"
"143","Acutus_14873.63383"
"144","Acutus_14873.31202"
"145","Acutus_16853.0"
"146","Acutus_14873.14739"
"147","Acutus_14873.60162"
"148","Acutus_14873.18262"
"149","Acutus_14873.68163"
"150","Acutus_14873.33139"
"151","Acutus_14873.54906"
"152","Acutus_14873.18543"
"153","Acutus_14873.23298"
"154","Acutus_14873.47114"
"155","Acutus_14873.25848"
"156","Acutus_18109.2"
"157","Acutus_14873.31381"
"158","Acutus_14873.16328"
"159","Acutus_14873.32348"
"160","Acutus_14873.24135"
"161","Acutus_14873.20894"
"162","Acutus_14873.39881"
"163","Acutus_14873.10357"
"164","Acutus_14873.8208"
"165","Acutus_14873.23187"
"166","Acutus_14873.35267"
"167","Acutus_14873.15008"
"168","Acutus_14873.14978"
"169","Acutus_841.2"
"170","Acutus_14873.57362"
"171","Acutus_14873.21308"
"172","Acutus_14873.73555"
"173","Acutus_14873.20350"
"174","Acutus_14873.62214"
"175","Acutus_14873.13155"
"176","Acutus_14873.39795"
"177","Acutus_14873.16496"
"178","Acutus_14873.3480"
"179","Acutus_14873.17672"
"180","Acutus_14873.17625"
"181","Acutus_14873.7813"
"182","Acutus_14873.58660"
"183","Acutus_14873.20024"
"184","Acutus_14873.70276"
"185","Acutus_13215.2"
"186","Acutus_10296.3"
"187","Acutus_9506.0"
"188","Acutus_14873.17662"
"189","Acutus_14873.39853"
"190","Acutus_14873.40743"
"191","Acutus_5668.0"
"192","Acutus_14873.27801"
"193","Acutus_14873.33081"
"194","Acutus_14873.10189"
"195","Acutus_23528.0"
"196","Acutus_14873.19958"
"197","Acutus_14873.6590"
"198","Acutus_14873.14998"
"199","Acutus_14873.15946"
"200","Acutus_14873.53548"
"201","Acutus_6511.1"
"202","Acutus_14873.6385"
"203","Acutus_14873.43406"
"204","Acutus_18501.0"
"205","Acutus_18947.0"
"206","Acutus_14873.35735"
"207","Acutus_18010.4"
"208","Acutus_19732.1"
"209","Acutus_14873.9759"
"210","Acutus_14873.27052"
"211","Acutus_14873.38410"
"212","Acutus_14873.41141"
"213","Acutus_15208.0"
"214","Acutus_21174.0"
"215","Acutus_14873.22237"
"216","Acutus_22639.0"
"217","Acutus_14873.6944"
"218","Acutus_14873.74291"
"219","Acutus_14873.57762"
"220","Acutus_14873.2077"
"221","Acutus_7541.0"
"222","Acutus_14873.42555"
"223","Acutus_13300.0"
"224","Acutus_14873.43569"
"225","Acutus_14873.15446"
"226","Acutus_14873.1867"
"227","Acutus_14873.27420"
"228","Acutus_14873.64189"
"229","Acutus_14873.5052"
"230","Acutus_17420.1"
"231","Acutus_14873.39884"
"232","Acutus_20270.0"
"233","Acutus_14873.61720"
"234","Acutus_14873.15679"
"235","Acutus_14873.37366"
"236","Acutus_14873.38068"
"237","Acutus_19442.0"
"238","Acutus_14873.19896"
"239","Acutus_14873.4229"
"240","Acutus_14873.26914"
"241","Acutus_14873.11099"
"242","Acutus_22962.0"
"243","Acutus_14873.13258"
"244","Acutus_14873.28530"
"245","Acutus_14873.71681"
"246","Acutus_14873.27035"
"247","Acutus_14873.40016"
"248","Acutus_14873.22445"
"249","Acutus_14873.8066"
"250","Acutus_14873.15928"
"251","Acutus_14873.58955"
"252","Acutus_14873.67898"
"253","Acutus_20830.3"
"254","Acutus_14873.58657"
"255","Acutus_14873.24238"
"256","Acutus_14873.67499"
"257","Acutus_14873.21486"
"258","Acutus_14873.41717"
"259","Acutus_14873.17822"
"260","Acutus_11245.0"
"261","Acutus_14873.27053"
"262","Acutus_23611.3"
"263","Acutus_14873.27991"
"264","Acutus_14873.24599"
"265","Acutus_20830.0"
"266","Acutus_14873.58820"
"267","Acutus_14873.61361"
"268","Acutus_14873.44669"
"269","Acutus_14873.7686"
"270","Acutus_14873.55308"
"271","Acutus_14873.25132"
"272","Acutus_14873.20302"
"273","Acutus_21613.0"
"274","Acutus_14873.41125"
"275","Acutus_14873.16806"
"276","Acutus_18660.0"
"277","Acutus_14873.72508"
"278","Acutus_14873.32036"
"279","Acutus_14873.19249"
"280","Acutus_14873.20980"
"281","Acutus_14873.29326"
"282","Acutus_23101.0"
"283","Acutus_14873.16815"
"284","Acutus_22717.0"
"285","Acutus_14873.3012"
"286","Acutus_14873.22945"
"287","Acutus_14873.17784"
"288","Acutus_14873.28138"
"289","Acutus_13158.0"
"290","Acutus_13141.0"
"291","Acutus_14873.71540"
"292","Acutus_2232.0"
"293","Acutus_14873.10292"
"294","Acutus_14873.21258"
"295","Acutus_14873.8788"
"296","Acutus_14873.7300"
"297","Acutus_14873.17580"
"298","Acutus_21103.0"
"299","Acutus_2721.1"
"300","Acutus_14873.58397"
"301","Acutus_17178.0"
"302","Acutus_5247.0"
"303","Acutus_14873.5039"
"304","Acutus_22829.0"
"305","Acutus_15936.0"
"306","Acutus_14873.73672"
"307","Acutus_14873.10603"
"308","Acutus_14873.22970"
"309","Acutus_14873.17644"
"310","Acutus_14873.48570"
"311","Acutus_3630.0"
"312","Acutus_14873.4708"
"313","Acutus_14873.74242"
"314","Acutus_14873.24458"
"315","Acutus_14873.39507"
"316","Acutus_14873.55314"
"317","Acutus_14873.6189"
"318","Acutus_14873.48560"
"319","Acutus_17769.1"
"320","Acutus_7586.2"
"321","Acutus_14873.52924"
"322","Acutus_14873.26197"
"323","Acutus_14873.60163"
"324","Acutus_14873.52573"
"325","Acutus_14873.39264"
"326","Acutus_4776.0"
"327","Acutus_14873.27362"
"328","Acutus_14873.11888"
"329","Acutus_19450.3"
"330","Acutus_14873.63382"
"331","Acutus_14873.5036"
"332","Acutus_14873.49938"
"333","Acutus_19500.0"
"334","Acutus_14873.11069"
"335","Acutus_14873.47485"
"336","Acutus_14873.13817"
"337","Acutus_3706.0"
"338","Acutus_5602.1"
"339","Acutus_14873.29339"
"340","Acutus_9506.5"
"341","Acutus_14873.33635"
"342","Acutus_841.13"
"343","Acutus_14873.26456"
"344","Acutus_14873.53759"
"345","Acutus_9321.0"
"346","Acutus_1044.0"
"347","Acutus_14873.984"
"348","Acutus_14873.48850"
"349","Acutus_14873.27260"
"350","Acutus_14873.68879"
"351","Acutus_14873.25215"
"352","Acutus_14873.24915"
"353","Acutus_14349.0"
"354","Acutus_14873.40941"
"355","Acutus_12196.0"
"356","Acutus_14873.13399"
"357","Acutus_14873.23122"
"358","Acutus_14873.6658"
"359","Acutus_14873.25206"
"360","Acutus_14873.5619"
"361","Acutus_14873.5181"
"362","Acutus_14873.2318"
"363","Acutus_20881.0"
"364","Acutus_14873.16346"
"365","Acutus_22384.0"
"366","Acutus_14873.52111"
"367","Acutus_14873.25946"
"368","Acutus_14873.19141"
"369","Acutus_14873.9822"
"370","Acutus_14873.15133"
"371","Acutus_14873.50067"
"372","Acutus_14873.42035"
"373","Acutus_14873.33840"
"374","Acutus_14873.22199"
"375","Acutus_14873.7812"
"376","Acutus_14873.20034"
