Label,Time,Group,Sample,Cryo,Animals,Wet_Weight,Protein,CS,CS_animal,CS_weight,CS_protein
Start,0,Fed,1,LC18,4,14.058,0.956,63.58466667,15.89616667,4.523023664,66.5111576
Start,0,Fed,2,LC18/21,4,14.774,0.772,43.78333333,10.94583333,2.963539551,56.71416235
Start,0,Fed,3,LC21/23,4,14.455,0.693,39.73866667,9.934666667,2.749129482,57.34295334
Start,0,Fed,4,LC23,3,9.662,0.405,20.806,6.935333333,2.153384392,51.37283951
T1 Fed,5,Fed,5,LC40,4,14.247,0.545,40.59166667,10.14791667,2.84913783,74.48012232
T1 Fed,5,Fed,6,LC40/41,4,14.431,0.664,37.482,9.3705,2.597325203,56.44879518
T1 Fed,5,Fed,7,LC41/44,3,12.263,0.488,24.91966667,8.306555556,2.032101987,51.06489071
T1 Fed,5,Fed,8,LC44,3,10.125,0.555,26.11633333,8.705444444,2.579390947,47.05645646
T1 Starve,5,Starve,9,LC48,4,13.025,0.593,28.94,7.235,2.221880998,48.80269815
T1 Starve,5,Starve,10,LC48/49,4,13.811,0.506,24.846,6.2115,1.799000796,49.1027668
T1 Starve,5,Starve,11,LC49/51,4,12.917,0.379,16.12933333,4.032333333,1.248690356,42.55760774
T1 Starve,5,Starve,12,LC51,3,10.001,0.402,20.768,6.922666667,2.076592341,51.66169154
T2 Fed,9,Fed,13,LC85,3,12.189,0.428,22.355,7.451666667,1.834030683,52.23130841
T2 Fed,9,Fed,14,LC86,3,13.018,0.588,26.817,8.939,2.059993855,45.60714286
T2 Fed,9,Fed,15,LC87,3,8.115,0.266,12.24533333,4.081777778,1.508975149,46.03508772
T2 Fed,9,Fed,16,LC88,3,10.772,0.438,18.15833333,6.052777778,1.685697487,41.45738204
T2 Starve,9,Starve,17,LC66,3,12.542,0.452,18.991,6.330333333,1.514192314,42.01548673
T2 Starve,9,Starve,18,LC67,3,12.776,0.429,22.21866667,7.406222222,1.739094135,51.79176379
T2 Starve,9,Starve,19,LC68,3,11.861,0.537,22.32566667,7.441888889,1.882275244,41.57479826
T2 Starve,9,Starve,20,LC69,3,12.968,0.466,21.837,7.279,1.68391425,46.86051502
T2 Re-fed,9,Refed,21,LC70/72,3,10.98,0.47,22.39966667,7.466555556,2.040042502,47.65886525
T2 Re-fed,9,Refed,22,LC71,3,12.079,0.525,27.404,9.134666667,2.268730855,52.19809524
T2 Re-fed,9,Refed,23,LC72,3,11.683,0.607,27.75466667,9.251555556,2.375645525,45.72432729
T2 Re-fed,9,Refed,24,LC73,3,12.92,0.527,25.03566667,8.345222222,1.937745098,47.50600886
