Entry,Date,Tow,Expt,Bucket,Dvphoto,Reprod,Reprod.Score,Group,Food in gut
377,1/19/2019,"Expt3, bucket1",yes,1F,3392,blurry,NA,5F,no
381,1/19/2019,"Expt3, bucket1",yes,1F,3397,blurry,NA,5F,no
383,1/19/2019,"Expt3, bucket1",yes,1F,3399,blurry,NA,5F,no
385,1/19/2019,"Expt3, bucket1",yes,1F,3401,blurry,NA,5F,no
387,1/19/2019,"Expt3, bucket1",yes,1F,3403,blurry,NA,5F,no
390,1/19/2019,"Expt3, bucket1",yes,1F,3406,blurry,NA,5F,no
400,1/19/2019,"Expt3, bucket1",yes,1F,3417,blurry,NA,5F,no
408,1/19/2019,"Expt3, bucket2",yes,2F,3432,blurry,NA,5F,no
376,1/19/2019,"Expt3, bucket1",yes,1F,3391,blurry,NA,5F,yes
379,1/19/2019,"Expt3, bucket1",yes,1F,3395,blurry,NA,5F,yes
386,1/19/2019,"Expt3, bucket1",yes,1F,3402,blurry,NA,5F,yes
405,1/19/2019,"Expt3, bucket2",yes,2F,3428,blurry,NA,5F,yes
414,1/19/2019,"Expt3, bucket2",yes,2F,3438,blurry,NA,5F,yes
417,1/19/2019,"Expt3, bucket2",yes,2F,3441,blurry,NA,5F,yes
393,1/19/2019,"Expt3, bucket1",yes,1F,3410,mature,3,5F,yes
399,1/19/2019,"Expt3, bucket1",yes,1F,3416,mature,3,5F,yes
394,1/19/2019,"Expt3, bucket1",yes,1F,3411,no,1,5F,no
395,1/19/2019,"Expt3, bucket1",yes,1F,3412,no,1,5F,no
407,1/19/2019,"Expt3, bucket2",yes,2F,3431,no,1,5F,no
412,1/19/2019,"Expt3, bucket2",yes,2F,3436,no,1,5F,no
415,1/19/2019,"Expt3, bucket2",yes,2F,3439,no,1,5F,no
380,1/19/2019,"Expt3, bucket1",yes,1F,3396,no,1,5F,yes
391,1/19/2019,"Expt3, bucket1",yes,1F,3408,no,1,5F,yes
396,1/19/2019,"Expt3, bucket1",yes,1F,3413,no,1,5F,yes
397,1/19/2019,"Expt3, bucket1",yes,1F,3414,no,1,5F,yes
398,1/19/2019,"Expt3, bucket1",yes,1F,3415,no,1,5F,yes
406,1/19/2019,"Expt3, bucket2",yes,2F,3429,no,1,5F,yes
418,1/19/2019,"Expt3, bucket2",yes,2F,3442,no,1,5F,yes
422,1/19/2019,"Expt3, bucket2",yes,2F,3446,no,1,5F,yes
427,1/19/2019,"Expt3, bucket2",yes,2F,3451,no,1,5F,yes
407,1/19/2019,"Expt3, bucket2",yes,2F,3430,yes,2,5F,no
409,1/19/2019,"Expt3, bucket2",yes,2F,3433,yes,2,5F,no
416,1/19/2019,"Expt3, bucket2",yes,2F,3440,yes,2,5F,no
425,1/19/2019,"Expt3, bucket2",yes,2F,3449,yes,2,5F,no
378,1/19/2019,"Expt3, bucket1",yes,1F,3394,yes,2,5F,yes
392,1/19/2019,"Expt3, bucket1",yes,1F,3409,yes,2,5F,yes
410,1/19/2019,"Expt3, bucket2",yes,2F,3434,yes,2,5F,yes
419,1/19/2019,"Expt3, bucket2",yes,2F,3443,yes,2,5F,yes
420,1/19/2019,"Expt3, bucket2",yes,2F,3444,yes,2,5F,yes
426,1/19/2019,"Expt3, bucket2",yes,2F,3450,yes,2,5F,yes
447,1/19/2019,"Expt3, bucket 6",yes,6S,3476,blurry,NA,5S,no
449,1/19/2019,"Expt3, bucket 6",yes,6S,3478,blurry,NA,5S,no
,,,,6S,3481,blurry,NA,5S,no
454,1/19/2019,"Expt3, bucket 6",yes,6S,3485,blurry,NA,5S,no
465,1/19/2019,"Expt3, bucket 7",yes,7S,3493,blurry,NA,5S,yes
470,1/19/2019,"Expt3, bucket 7",yes,7S,3498,mature,3,5S,no
,,,,7S,3499,mature,3,5S,no
440,1/19/2019,"Expt3, bucket 6",yes,6S,3468,no,1,5S,little
466,1/19/2019,"Expt3, bucket 7",yes,7S,3494,no,1,5S,maybe
429,1/19/2019,"Expt3, bucket 6",yes,6S,3453,no,1,5S,no
430,1/19/2019,"Expt3, bucket 6",yes,6S,3454,no,1,5S,no
434,1/19/2019,"Expt3, bucket 6",yes,6S,3462,no,1,5S,no
435,1/19/2019,"Expt3, bucket 6",yes,6S,3463,no,1,5S,no
442,1/19/2019,"Expt3, bucket 6",yes,6S,3471,no,1,5S,no
443,1/19/2019,"Expt3, bucket 6",yes,6S,3472,no,1,5S,no
446,1/19/2019,"Expt3, bucket 6",yes,6S,3475,no,1,5S,no
451,1/19/2019,"Expt3, bucket 6",yes,6S,3480,no,1,5S,no
455,1/19/2019,"Expt3, bucket 7",yes,7S,3487,no,1,5S,no
467,1/19/2019,"Expt3, bucket 7",yes,7S,3495,no,1,5S,no
471,1/19/2019,"Expt3, bucket 7",yes,7S,3500,no,1,5S,no
453,1/19/2019,"Expt3, bucket 6",yes,6S,3484,no,1,5S,yes
431,1/19/2019,"Expt3, bucket 6",yes,6S,3456,yes,2,5S,no
456,1/19/2019,"Expt3, bucket 7",yes,7S,3488,yes,2,5S,no
696,1/23/2019,"Expt3, Bucket 3",3,3,3799,blurry,NA,9F,no
699,1/23/2019,"Expt3, Bucket 3",3,3,3803,blurry,NA,9F,no
700,1/23/2019,"Expt3, Bucket 3",3,3,3804,blurry,NA,9F,no
,1/23/2019,"Expt3, Bucket 3",3,3,3808,blurry,NA,9F,no
,1/23/2019,"Expt3, Bucket 3",3,3,3813,blurry,NA,9F,no
,1/23/2019,"Expt3, Bucket 3",3,3,3814,blurry,NA,9F,no
697,1/23/2019,"Expt3, Bucket 3",3,3,3800,blurry,NA,9F,yes
730,1/23/2019,"Expt3, Bucket 4",3,4,3836,mature,3,9F,no
,1/23/2019,"Expt3, Bucket 4",3,4,3838,mature,3,9F,no
,1/23/2019,"Expt3, Bucket 4",3,4,3839,mature,3,9F,no
,1/23/2019,"Expt3, Bucket 4",3,4,3840,mature,3,9F,no
728,1/23/2019,"Expt3, Bucket 4",3,4,3834,no,1,9F,no
698,1/23/2019,"Expt3, Bucket 3",3,3,3802,no,1,9F,no
,1/23/2019,"Expt3, Bucket 3",3,3,3805,no,1,9F,no
,1/23/2019,"Expt3, Bucket 3",3,3,3806,no,1,9F,no
,1/23/2019,"Expt3, Bucket 3",3,3,3810,no,1,9F,no
,1/23/2019,"Expt3, Bucket 4",3,4,3821,no,1,9F,no
,1/23/2019,"Expt3, Bucket 4",3,4,3822,no,1,9F,no
,1/23/2019,"Expt3, Bucket 4",3,4,3823,no,1,9F,no
718,1/23/2019,"Expt3, Bucket 4",3,4,3824,no,1,9F,no
719,1/23/2019,"Expt3, Bucket 4",3,4,3826,no,1,9F,no
,1/23/2019,"Expt3, Bucket 4",3,4,3832,no,1,9F,no
,1/23/2019,"Expt3, Bucket 4",3,4,3841,no,1,9F,no
,1/23/2019,"Expt3, Bucket 3",3,3,3815,yes,2,9F,no
710,1/23/2019,"Expt3, Bucket 3",3,3,3816,yes,2,9F,no
711,1/23/2019,"Expt3, Bucket 4",3,4,3817,yes,2,9F,no
712,1/23/2019,"Expt3, Bucket 4",3,4,3818,yes,2,9F,no
713,1/23/2019,"Expt3, Bucket 4",3,4,3819,yes,2,9F,no
,1/23/2019,"Expt3, Bucket 4",3,4,3828,yes,2,9F,no
,1/23/2019,"Expt3, Bucket 4",3,4,3829,yes,2,9F,no
,1/23/2019,"Expt3, Bucket 4",3,4,3830,yes,2,9F,no
729,1/23/2019,"Expt3, Bucket 4",3,4,3835,yes,2,9F,no
605,1/23/2019,"Expt3, bucket8",,,3693,blurry,NA,9R,yes
606,1/23/2019,"Expt3, bucket8",,,3694,blurry,NA,9R,yes
608,1/23/2019,"Expt3, bucket8",,,3697,blurry,NA,9R,yes
610,1/23/2019,"Expt3, bucket8",,,3700,blurry,NA,9R,yes
614,1/23/2019,"Expt3, bucket8",,,3706,mature,3,9R,no
613,1/23/2019,"Expt3, bucket8",,,3705,mature,3,9R,yes
624,1/23/2019,"Expt3, bucket8",,,3716,mature,3,9R,yes
611,1/23/2019,"Expt3, bucket8",,,3702,no,1,9R,no
612,1/23/2019,"Expt3, bucket8",,,3703,no,1,9R,no
615,1/23/2019,"Expt3, bucket8",,,3707,no,1,9R,no
616,1/23/2019,"Expt3, bucket8",,,3708,no,1,9R,no
619,1/23/2019,"Expt3, bucket8",,,3711,no,1,9R,no
621,1/23/2019,"Expt3, bucket8",,,3713,no,1,9R,no
627,1/23/2019,"Expt3, bucket8",,,3719,no,1,9R,yes
625,1/23/2019,"Expt3, bucket8",,,3717,yes,2,9R,maybe
607,1/23/2019,"Expt3, bucket8",,,3695,yes,2,9R,yes
617,1/23/2019,"Expt3, bucket8",,,3709,yes,2,9R,yes
626,1/23/2019,"Expt3, bucket8",,,3718,yes,2,9R,yes
575,1/23/2019,"Expt3, bucket7b",,,3652,blurry,NA,9S,no
576,1/23/2019,"Expt3, bucket7b",,,3653,blurry,NA,9S,no
593,1/23/2019,"Expt3, bucket5",,,3678,blurry,NA,9S,no
585,1/23/2019,"Expt3, bucket7b",,,3665,mature,3,9S,no
595,1/23/2019,"Expt3, bucket5",,,3680,mature,3,9S,no
581,1/23/2019,"Expt3, bucket7b",,,3661,mature,3,9S,yes
586,1/23/2019,"Expt3, bucket7b",,,3666,mature,3,9S,yes
598,1/23/2019,"Expt3, bucket5",,,3684,no,1,9S,little
579,1/23/2019,"Expt3, bucket7b",,,3659,no,1,9S,no
582,1/23/2019,"Expt3, bucket7b",,,3662,no,1,9S,no
589,1/23/2019,"Expt3, bucket5",,,3672,no,1,9S,no
590,1/23/2019,"Expt3, bucket5",,,3675,no,1,9S,no
591,1/23/2019,"Expt3, bucket5",,,3676,no,1,9S,no
596,1/23/2019,"Expt3, bucket5",,,3681,no,1,9S,no
599,1/23/2019,"Expt3, bucket5",,,3685,no,1,9S,no
600,1/23/2019,"Expt3, bucket5",,,3686,no,1,9S,no
602,1/23/2019,"Expt3, bucket5",,,3690,no,1,9S,no
603,1/23/2019,"Expt3, bucket5",,,3691,no,1,9S,no
578,1/23/2019,"Expt3, bucket7b",,,3656,yes,2,9S,no
601,1/23/2019,"Expt3, bucket5",,,3687,yes,2,9S,no
604,1/23/2019,"Expt3, bucket5",,,3692,yes,2,9S,no
584,1/23/2019,"Expt3, bucket7b",,,3664,yes,2,9S,yes
152,1/14/2019,45,No,NA,3055,blurry,NA,Field,no
198,1/14/2019,45,No,NA,3116,blurry,NA,Field,no
161,1/14/2019,45,No,NA,3066,blurry,NA,Field,yes
162,1/14/2019,45,No,NA,3067,mature,3,Field,Maybe
156,1/14/2019,45,No,NA,3060,mature,3,Field,no
164,1/14/2019,45,No,NA,3069,mature,3,Field,no
187,1/14/2019,45,No,NA,3101,mature,3,Field,no
207,1/14/2019,45,No,NA,3130,mature,3,Field,no
210,1/14/2019,45,No,NA,3133,mature,3,Field,no
211,1/14/2019,45,No,NA,3134,mature,3,Field,yes
158,1/14/2019,45,No,NA,3062,no,1,Field,MAYBE
153,1/14/2019,45,No,NA,3056,no,1,Field,no
155,1/14/2019,45,No,NA,3059,no,1,Field,no
159,1/14/2019,45,No,NA,3063,no,1,Field,no
181,1/14/2019,45,No,NA,3094,no,1,Field,no
192,1/14/2019,45,No,NA,3108,no,1,Field,no
213,1/14/2019,45,No,NA,3136,no,1,Field,no
170,1/14/2019,45,No,NA,3079,no,1,Field,yes
179,1/14/2019,45,No,NA,3092,no,1,Field,yes
189,1/14/2019,45,No,NA,3105,no,1,Field,yes
183,1/14/2019,45,No,NA,3097,yes,2,Field,maybe
154,1/14/2019,45,No,NA,3058,yes,2,Field,no
168,1/14/2019,45,No,NA,3076,yes,2,Field,no
171,1/14/2019,45,No,NA,3080,yes,2,Field,no
182,1/14/2019,45,No,NA,3095,yes,2,Field,no
202,1/14/2019,45,No,NA,3125,yes,2,Field,no
203,1/14/2019,45,No,NA,3126,yes,2,Field,no
209,1/14/2019,45,No,NA,3132,yes,2,Field,no
157,1/14/2019,45,No,NA,3061,yes,2,Field,yes
