LatPhoto,Food in gut,Binary food in gut,Group,Reprod Score
3566,yes,y,Field,2
3567,yes,y,Field,2
3571,yes,y,Field,3
3572,little,y,Field,1
3575,no,n,Field,3
3576,yes,y,Field,1
3577,little,y,Field,1
3578,no,n,Field,1
3579,yes,y,Field,2
3580,yes,y,Field,3
3581,questionable/old,n,Field,1
3582,little,y,Field,1
3600,no,n,Field,3
3601,no,n,Field,2
3603,no,n,Field,3
3885,yes,y,5dF,1
3887,yes,y,5dF,2
3888,yes,y,5dF,1
3889,yes,y,5dF,1
3890,yes,y,5dF,2
3891,yes,y,5dF,2
3892,yes,y,5dF,1
3893,yes,y,5dF,3
3895,yes,y,5dF,1
3896,yes,y,5dF,1
3897,yes,y,5dF,2
3898,yes,y,5dF,1
3899,yes,y,5dF,3
3900,yes,y,5dF,1
3902,no,n,5dF,1
3904,yes,y,5dF,1
3906,yes,y,5dF,1
3907,no,n,5dF,3
3908,little,y,5dF,2
3909,yes,y,5dF,1
3910,questionable/old,n,5dF,3
3911,v. little,y,5dF,1
3912,questionable/old,n,5dF,3
3913,no,n,5dF,3
3914,no,n,5dF,3
3915,no,n,5dS,3
3916,no,n,5dS,3
3917,no,n,5dS,1
3918,old,n,5dS,3
3919,no,n,5dS,1
3921,no,n,5dS,3
3922,no,n,5dS,3
3923,no,n,5dS,1
3924,no,n,5dS,1
3925,no,n,5dS,2
3926,no,n,5dS,1
3927,no,n,5dS,3
3928,no,n,5dS,1
3929,no,n,5dS,3
3930,no,n,5dS,1
3931,no,n,5dS,1
3932,no,n,5dS,2
3933,no,n,5dS,1
3935,no,n,5dS,1
3936,no,n,5dS,3
4006,yes,y,9dF,3
4007,yes,y,9dF,2
4008,yes,y,9dF,2
4009,yes,y,9dF,1
4010,yes,y,9dF,3
4011,yes,y,9dF,1
4012,yes,y,9dF,1
4013,yes,y,9dF,2
4014,yes,y,9dF,3
4015,yes,y,9dF,1
4016,yes,y,9dF,1
4017,yes,y,9dF,1
4018,yes,y,9dF,2
4019,yes,y,9dF,1
4021,yes,y,9dF,3
4022,yes,y,9dF,3
4023,yes,y,9dF,1
4024,yes,y,9dF,3
4025,yes,y,9dF,1
4026,yes,y,9dF,3
4027,yes,y,9dF,3
4028,yes,y,9dF,1
4029,yes,y,9dF,1
4030,yes,y,9dF,3
4031,yes,y,9dF,3
4032,yes,y,9dF,2
4033,little,y,9dS,1
4035,no,n,9dS,1
4036,little,y,9dS,1
4037,no,n,9dS,1
4040,yes,y,9dS,2
4041,yes,y,9dS,1
4042,little,y,9dS,1
4043,no,n,9dS,1
4044,no,n,9dS,1
4046,yes,y,9dS,1
4047,yes,y,9dS,1
4051,no,n,9dS,3
4052,no,n,9dS,1
4053,no,n,9dS,2
4054,no,n,9dS,2
4055,no,n,9dS,2
4056,no,n,9dS,1
4057,no,n,9dS,3
4059,no,n,9dS,1
4061,little,y,9dS,3
4062,no,n,9dS,3
4064,no,n,9dS,1
