OG,Background,Foreground,WE,TAG
N1.HOG0000008,0.10438,0.10438,0.10438,0.10438
N1.HOG0000070,0.07835,0.07835,0.07835,0.07835
N1.HOG0000099,0.08197,0.08197,0.08197,0.08197
N1.HOG0000162,0.07261,0.07261,0.07261,0.07261
N1.HOG0000247,0.24137,0.24137,0.24137,0.24137
N1.HOG0000251,0.22981,0.22981,0.22981,0.22981
N1.HOG0000271,0.41121,0.41121,0.41121,0.41121
N1.HOG0000298,0.38133,0.38133,0.38133,0.38133
N1.HOG0000314,0.21779,0.21779,0.21779,0.21779
N1.HOG0000315,0.23435,0.23435,0.23435,0.23435
N1.HOG0000331,0.38688,0.38688,0.38688,0.38688
N1.HOG0000332,0.32681,0.32681,0.32681,0.32681
N1.HOG0000376,0.30147,0.30147,0.30147,0.30147
N1.HOG0000377,0.25282,0.25282,0.25282,0.25282
N1.HOG0000379,0.29965,0.29965,0.29965,0.29965
N1.HOG0000382,0.24913,0.24913,0.24913,0.24913
N1.HOG0000383,0.23741,0.23741,0.23741,0.23741
N1.HOG0000384,0.27451,0.27451,0.27451,0.27451
N1.HOG0000385,0.28161,0.28161,0.28161,0.28161
N1.HOG0000386,0.22533,0.22533,0.22533,0.22533
N1.HOG0000389,0.2156,0.2156,0.2156,0.2156
N1.HOG0000395,0.28826,0.28826,0.28826,0.28826
N1.HOG0000400,0.31063,0.31063,0.31063,0.31063
N1.HOG0000403,0.2467,0.2467,0.2467,0.2467
N1.HOG0000405,0.20659,0.20659,0.20659,0.20659
N1.HOG0000409,0.30794,0.30794,0.30794,0.30794
N1.HOG0000414,0.0539,0.0539,0.0539,0.0539
N1.HOG0000420,0.11082,0.11082,0.11082,0.11082
N1.HOG0000435,0.21275,0.21275,0.21275,0.21275
N1.HOG0000436,0.24777,0.24777,0.24777,0.24777
N1.HOG0000515,0.15336,0.15336,0.15336,0.15336
N1.HOG0000516,0.15827,0.15827,0.15827,0.15827
N1.HOG0000520,0.34607,0.34607,0.34607,0.34607
N1.HOG0000530,0.16173,0.16173,0.16173,0.16173
N1.HOG0000539,0.14644,0.14644,0.14644,0.14644
N1.HOG0000548,0.35698,0.35698,0.35698,0.35698
N1.HOG0000588,0.25976,0.25976,0.25976,0.25976
N1.HOG0000594,0.20039,0.20039,0.20039,0.20039
N1.HOG0000597,0.24844,0.24844,0.24844,0.24844
N1.HOG0000601,0.20101,0.20101,0.20101,0.20101
N1.HOG0000602,0.24096,0.24096,0.24096,0.24096
N1.HOG0000607,0.19609,0.19609,0.19609,0.19609
N1.HOG0000609,0.20546,0.20546,0.20546,0.20546
N1.HOG0000611,0.17689,0.17689,0.17689,0.17689
N1.HOG0000613,0.1471,0.1471,0.1471,0.1471
N1.HOG0000618,0.15639,0.15639,0.15639,0.15639
N1.HOG0000619,0.29269,0.29269,0.29269,0.29269
N1.HOG0000621,0.32159,0.32159,0.32159,0.32159
N1.HOG0000626,0.19103,0.19103,0.19103,0.19103
N1.HOG0000627,0.19743,0.19743,0.19743,0.19743
N1.HOG0000675,0.15995,0.15995,0.15995,0.15995
N1.HOG0000760,0.25465,0.25465,0.25465,0.25465
N1.HOG0000764,0.27666,0.27666,0.27666,0.27666
N1.HOG0000773,0.3126,0.3126,0.3126,0.3126
N1.HOG0000774,0.27506,0.27506,0.27506,0.27506
N1.HOG0000775,0.31031,0.31031,0.31031,0.31031
N1.HOG0000787,0.33067,0.33067,0.33067,0.33067
N1.HOG0000789,0.2796,0.2796,0.2796,0.2796
N1.HOG0000799,0.29257,0.29257,0.29257,0.29257
N1.HOG0000881,0.55451,0.55451,0.55451,0.55451
