OG,lnL_Null2,lnL_Null05,lnL_ML2,lnL_ML05,lnL_Fix,W_Null2,W_Null05,W0_ML2,W1_ML2,W0_ML05,W1_ML05
N1.HOG0000008,-45904.769861,-45904.770585,-45902.883864,-45902.886805,-47107.886786,0.09994,0.09994,0.10438,0.09172,0.10432,0.09177
N1.HOG0000021,-61845.759596,-61845.756944,-61834.307993,-61834.311116,-64237.946627,0.09255,0.0926,0.09931,0.07933,0.09924,0.07928
N1.HOG0000047,-60351.960543,-60351.96056,-60322.535344,-60322.535005,-62254.686316,0.08034,0.08036,0.08792,0.0566,0.0879,0.05657
N1.HOG0000067,-49803.237571,-49803.237563,-49790.247305,-49790.247308,-50496.129201,0.15769,0.1577,0.16704,0.12127,0.16706,0.12129
N1.HOG0000070,-44213.249673,-44213.249674,-44213.10974,-44213.109737,-45368.121657,0.07777,0.07776,0.07836,0.07572,0.07835,0.07572
N1.HOG0000071,-57338.437424,-57525.192014,-57933.398009,-57334.508843,-59371.319624,0.06877,0.08226,0.10018,0.08331,0.07111,0.06025
N1.HOG0000099,-21075.473519,-21075.473518,-21074.504096,-21074.504096,-21161.637453,0.08103,0.08103,0.08197,0.0589,0.08196,0.05889
N1.HOG0000101,-23127.458116,-22758.138998,-24287.23375,-23543.470096,-24898.507724,0.05073,0.07459,1e-04,0.52507,0.04734,0.43196
N1.HOG0000121,-40750.911599,-36213.095265,-35942.619858,-38023.539145,-38893.849684,2.00461,0.12613,0.14827,0.15305,0.52118,0.57282
N1.HOG0000142,-22155.784215,-19803.912194,-19811.507062,-20329.016261,-20548.293726,1.69601,0.12353,0.10811,0.1613,0.10743,0.7999
N1.HOG0000143,-31409.473395,-31539.504272,-31529.054167,-32775.052184,-34788.788317,0.0845,0.07108,0.09554,0.11382,0.03997,0.64816
N1.HOG0000162,-13938.51495,-13938.514951,-13934.777256,-13934.777258,-14307.875516,0.067,0.067,0.07261,0.0487,0.07262,0.0487
N1.HOG0000167,-15397.093534,-15397.093196,-15388.205073,-15388.20543,-16066.367571,0.08253,0.08253,0.09614,0.06138,0.09612,0.06138
N1.HOG0000185,-17979.033178,-17650.363475,-17799.039929,-19660.660213,-20169.23073,0.13021,0.06716,0.11359,0.08217,0.56579,0.48391
N1.HOG0000187,-30520.158392,-31387.952073,-30342.551353,-29834.511739,-31372.896361,0.14758,0.50001,0.17356,0.10476,0.0942,0.08515
N1.HOG0000189,-31922.668386,-31922.668384,-31907.467052,-31907.467036,-32834.230021,0.08507,0.08508,0.09538,0.05954,0.09537,0.05954
N1.HOG0000194,-11789.970747,-11789.970748,-11755.449308,-11755.449301,-12106.566174,0.087,0.087,0.10915,0.02389,0.10915,0.02389
N1.HOG0000195,-8842.441604,-8842.43414,-9362.632681,-8841.59779,-9216.389594,0.05028,0.05004,1e-04,0.09662,0.05442,0.04277
N1.HOG0000220,-18377.06513,-18377.06513,-18368.141225,-18368.141225,-18825.309579,0.26976,0.26976,0.35776,0.24319,0.35776,0.24319
N1.HOG0000230,-29042.217775,-29042.217775,-29010.089253,-29010.089253,-29748.25755,0.25946,0.25946,0.33497,0.20811,0.33496,0.2081
N1.HOG0000247,-8964.250663,-8964.250663,-8960.734269,-8960.734269,-9269.431055,0.19059,0.19058,0.24137,0.17227,0.24137,0.17227
N1.HOG0000248,-15845.914805,-15702.663077,-16402.895268,-15577.206802,-16031.491623,0.23429,0.13188,2.20999,0.13217,0.18435,0.16949
N1.HOG0000251,-14032.961631,-14032.961631,-14029.564869,-14029.564869,-14308.956768,0.20934,0.20934,0.22981,0.18202,0.22981,0.18202
N1.HOG0000256,-39395.550642,-39395.550644,-39370.894035,-39370.893882,-40772.319168,0.21258,0.21259,0.26351,0.18381,0.26348,0.18381
N1.HOG0000258,-17073.027073,-17073.027073,-17045.901233,-17045.901233,-17485.519227,0.20017,0.20017,0.24774,0.13504,0.24774,0.13504
N1.HOG0000265,-26293.057744,-23978.107439,-25760.537483,-24686.302007,-24467.627322,2.00003,0.1967,1.506,1.61407,0.48502,0.43129
N1.HOG0000266,-12653.625013,-12653.84966,-12562.001126,-12562.001126,-13827.309354,0.0368,0.03629,0.05289,0.01841,0.05289,0.01841
N1.HOG0000271,-9556.116474,-9556.116474,-9556.107019,-9556.107019,-9607.761104,0.40751,0.40751,0.41121,0.40419,0.41121,0.4042
N1.HOG0000272,-61389.339289,-61389.339288,-61313.952109,-61313.95213,-63822.611284,0.19498,0.19499,0.25277,0.15581,0.25276,0.1558
N1.HOG0000283,-18574.560824,-18883.631609,-18632.425344,-18524.279259,-19230.332183,0.19283,0.50003,0.23649,0.14038,0.28764,0.19178
N1.HOG0000284,-81052.333342,-73489.537649,-73419.347997,-73413.702665,-76627.8056,0.57801,0.20025,0.26904,0.17014,0.26241,0.1704
N1.HOG0000285,-23477.686119,-23477.686119,-23473.016256,-23473.016258,-24001.877148,0.24713,0.24713,0.2743,0.22485,0.27431,0.22484
N1.HOG0000296,-60007.693369,-60007.693369,-60002.870248,-60002.870248,-60688.897507,0.37044,0.37044,0.3953,0.34852,0.3953,0.34852
N1.HOG0000298,-54225.44694,-54225.44693,-54223.561344,-54223.561424,-54377.934418,0.3766,0.37661,0.38133,0.33806,0.38133,0.33782
N1.HOG0000314,-9826.467246,-9826.45919,-9824.583594,-9824.582868,-10160.355518,0.19179,0.19167,0.21769,0.17678,0.21779,0.17709
N1.HOG0000315,-11219.863764,-11219.863764,-11216.990319,-11216.990319,-11398.996535,0.21889,0.21889,0.23435,0.18381,0.23435,0.18381
N1.HOG0000331,-12261.508663,-12261.508663,-12260.669977,-12260.669977,-12359.662623,0.41685,0.41685,0.38688,0.43726,0.38688,0.43726
N1.HOG0000332,-15980.956019,-15980.956019,-15979.37843,-15979.37843,-16275.401803,0.29952,0.29953,0.32681,0.28332,0.32681,0.28332
N1.HOG0000353,-15212.899334,-15212.899334,-15208.638141,-15208.638141,-15261.174511,0.48029,0.48029,0.40112,0.53744,0.40112,0.53744
N1.HOG0000359,-99905.730212,-99905.732151,-99883.624748,-99883.624914,-101385.552955,0.3691,0.36921,0.41678,0.33838,0.41684,0.33819
N1.HOG0000372,-34768.957922,-34768.957931,-34761.695627,-34761.695636,-35132.897451,0.24723,0.24724,0.25935,0.20392,0.25934,0.20393
N1.HOG0000376,-22907.762228,-22907.762228,-22906.718505,-22906.718505,-23117.383243,0.29396,0.29396,0.30147,0.27247,0.30147,0.27247
N1.HOG0000377,-24319.669892,-24319.669892,-24319.624069,-24319.624069,-24470.061534,0.25182,0.25182,0.25282,0.24642,0.25282,0.24642
N1.HOG0000379,-10151.105622,-10151.105622,-10148.961249,-10148.961249,-10325.75555,0.27008,0.27008,0.29965,0.24123,0.29965,0.24123
