label,Species,Foreground,DE,LFC,N20
Acartia_fossae_TRINITY_DN82988_c1_g1_i1,Afos,FALSE,No,,
Acartia_tonsa_TRINITY_DN7645_c5_g1_i6,Aton,FALSE,No,,
Apocyclops_royi_TRINITY_DN14512_c0_g1_i2,Aroy,FALSE,No,,
Calanoides_acutus_contig102823_2,Cacu,TRUE,No,-0.4792292,N20.HOG0021069
Calanoides_acutus_contig126642_1,Cacu,TRUE,No,-0.1546005,N20.HOG0021072
Calanoides_acutus_contig137855_1,Cacu,TRUE,Yes,-2.560084476,N20.HOG0021073
Calanoides_acutus_contig163399_1,Cacu,TRUE,Yes,-1.469540681,N20.HOG0021070
Calanus_finmarchicus_GAXK01019910_1,Cfin,TRUE,No,,
Calanus_finmarchicus_GAXK01033516_1,Cfin,TRUE,No,,
Calanus_finmarchicus_GAXK01041911_1,Cfin,TRUE,No,,
Calanus_finmarchicus_GAXK01149092_1,Cfin,TRUE,No,,
Calanus_glacialis_TRINITY_DN8543_c0_g2_i1,Cgla,TRUE,No,,
Calanus_glacialis_TRINITY_DN9763_c0_g1_i1,Cgla,TRUE,No,,
Calanus_helgolandicus_TRINITY_DN47008_c0_g2_i1,Chel,TRUE,No,,
Calanus_helgolandicus_TRINITY_DN64324_c0_g1_i4,Chel,TRUE,No,,
Calanus_helgolandicus_TRINITY_DN6466_c0_g1_i1,Chel,TRUE,No,,
Calanus_helgolandicus_TRINITY_DN8363_c0_g1_i2,Chel,TRUE,No,,
Calanus_helgolandicus_TRINITY_DN8363_c0_g2_i4,Chel,TRUE,No,,
Calanus_marshallae_TRINITY_DN1824_c0_g1_i4,Cmar,TRUE,No,,
Calanus_marshallae_TRINITY_DN2154_c0_g1_i10,Cmar,TRUE,No,,
Calanus_marshallae_TRINITY_DN411_c0_g1_i5,Cmar,TRUE,No,,
Calanus_marshallae_TRINITY_DN8648_c0_g1_i4,Cmar,TRUE,No,,
Calanus_propinquus_TRINITY_DN63418_c2_g1_i2,Cpro,TRUE,No,0.2713312,N20.HOG0021069
Calanus_sinicus_TRINITY_DN5512_c0_g1_i1,Csin,TRUE,No,,
Calanus_sinicus_TRINITY_DN60252_c0_g3_i2,Csin,TRUE,No,,
'Caligus_rogercresseyi_gi|604732434|gb|GAZX01036097_1|',Crog,FALSE,No,,
Eucalanus_bungii_TRINITY_DN231_c0_g2_i2,Ebun,TRUE,No,,
Eucalanus_bungii_TRINITY_DN31730_c0_g1_i1,Ebun,TRUE,No,,
Eucalanus_bungii_TRINITY_DN445_c2_g1_i2,Ebun,TRUE,No,,
Eucyclops_serrulatus_GARW01005851_1,Eser,FALSE,No,,
Eurytemora_affinis_GBGO01054305_1,Eser,FALSE,No,,
Hemidiaptemus_amplyodon_TRINITY_DN19512_c0_g1_i1,Hamp,FALSE,No,,
Labidocera_madurae_GFWO01152790_1,Lmad,FALSE,No,,
Lernaea_cyprinacea_TRINITY_DN73_c0_g1_i1,Lcyp,FALSE,No,,
Neocalanus_cristatus_TRINITY_DN24386_c0_g1_i5,Ncri,TRUE,No,,
Neocalanus_cristatus_TRINITY_DN3060_c0_g1_i2,Ncri,TRUE,No,,
Neocalanus_cristatus_TRINITY_DN3437_c0_g1_i2,Ncri,TRUE,No,,
Neocalanus_flemingerii_GFUD01014367_1,Nfle,TRUE,No,,
Neocalanus_flemingerii_GFUD01026450_1,Nfle,TRUE,No,,
Neocalanus_flemingerii_GFUD01027859_1,Nfle,TRUE,No,,
Neocalanus_flemingerii_GFUD01056389_1,Nfle,TRUE,No,,
Neocalanus_plumchrus_TRINITY_DN17648_c0_g2_i1,Nplu,TRUE,No,,
Neocalanus_plumchrus_TRINITY_DN18158_c0_g1_i5,Nplu,TRUE,No,,
Neocalanus_plumchrus_TRINITY_DN27338_c0_g1_i4,Nplu,TRUE,No,,
Neocalanus_plumchrus_TRINITY_DN2953_c0_g1_i5,Nplu,TRUE,No,,
Oithona_similis_TRINITY_DN39618_c0_g2_i8,Osim,FALSE,No,,
Paracyclopina_nana_TRINITY_DN7298_c0_g2_i4,Pnan,FALSE,No,,
Platychelipus_littoralis_TRINITY_DN5441_c0_g1_i5,Plit,FALSE,No,,
Pseudocalanus_acuspes_TRINITY_DN264_c0_g1_i20,Pacu,FALSE,No,,
Pseudocalanus_acuspes_TRINITY_DN4217_c0_g1_i2,Pacu,FALSE,No,,
Pseudocalanus_acuspes_TRINITY_DN6068_c0_g1_i1,Pacu,FALSE,No,,
Pseudodiaptemus_annandalei_TRINITY_DN462_c1_g1_i2,Pann,FALSE,No,,
Rhincalanus_gigas_contig117624_1,Rgig,TRUE,No,,
Rhincalanus_gigas_contig128465_1,Rgig,TRUE,No,,
Rhincalanus_gigas_contig66844_2,Rgig,TRUE,No,,
Temora_longicornis_TRINITY_DN16785_c0_g1_i1,Tlon,FALSE,No,,
Temora_stylifera_TRINITY_DN8616_c1_g1_i8,Tsty,FALSE,No,,
Tigriopus_californicus_GHUE01069384_1,Tcal,FALSE,No,,
Tigriopus_japonicus_GCHA01012913_1,Tjap,FALSE,No,,
Tigriopus_kingsejongensis_GDFW01025622_1,Tkin,FALSE,No,,
Tisbe_furcata_TRINITY_DN1208_c0_g1_i5,Tfur,FALSE,No,,
Tisbe_holothuriae_TRINITY_DN11419_c0_g1_i2,Thol,FALSE,No,,
